nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Martin;Dorothee Katja Julia;1978;SPD;21;3;Hamburg;2021
Beck;Katharina Barbara Maria;1982;GRÜNE;21;1;Hamburg;2021
Celik;Deniz;1978;DIE LINKE;21;2;Hamburg;2021
Bläsing;Robert;1982;FDP;21;5;Hamburg;2021
Mennerich;Benjamin;1981;AfD;21;5;Hamburg;2021
Becker;Almut;1970;FREIE WÄHLER;21;3;Hamburg;2021
Stawitz;Ingo;1950;NPD;21;;;2021
Bader;Susanne Doris;1956;MLPD;21;;;2021
Böttcher;Jörn;1963;dieBasis;21;;;2021
Nethe;Steffan;1981;LKR;21;1;Hamburg;2021
Hoppermann;Franziska Christina Brigitte;1982;CDU;22;2;Hamburg;2021
Özoğuz;Saliha Aydan;1967;SPD;22;1;Hamburg;2021
Grimm;Daniel Alexander;1978;GRÜNE;22;;;2021
Graßhoff;Johan;1988;DIE LINKE;22;4;Hamburg;2021
Schinnenburg;Wieland Albert Wilhelm;1958;FDP;22;;;2021
Wagner;Dietmar Werner;1952;AfD;22;4;Hamburg;2021
Deutsch;Matthias;1965;ÖDP;22;8;Hamburg;2021
Saß;Helmut;1958;NPD;22;2;Hamburg;2021
Dohrn;Renate Inge-Marie;1954;MLPD;22;4;Hamburg;2021
Stein;Michael Erwin;1960;dieBasis;22;;;2021
Kaiser;Arthur;1982;PIRATEN;22;2;Hamburg;2021
Beitz;Luca Alexandra;1997;Volt;22;1;Hamburg;2021
Schneider;Uwe Günther;1975;CDU;23;6;Hamburg;2021
Hakverdi;Metin;1969;SPD;23;6;Hamburg;2021
Sarrazin;Manuel Ferdinand Theodor;1982;GRÜNE;23;4;Hamburg;2021
Jersch;Stephan Rüdiger;1963;DIE LINKE;23;;;2021
Jacobsen;Sonja Julia;1972;FDP;23;;;2021
Petersen;Olga;1982;AfD;23;2;Hamburg;2021
Lindner;Thomas;1974;FREIE WÄHLER;23;2;Hamburg;2021
Körlin;Manuela;1979;ÖDP;23;4;Hamburg;2021
Dammann;Manfred Wilhelm;1959;NPD;23;1;Niedersachsen;2021
Nianur;Narziss;1964;MLPD;23;2;Hamburg;2021
Schäfer;Katja;1969;dieBasis;23;2;Hamburg;2021
Thoden;Jan-Martin;1975;Volt;23;12;Hamburg;2021
Kleen;Joachim Lübbo;1974;CDU;24;27;Niedersachsen;2021
Saathoff;Johann;1967;SPD;24;11;Niedersachsen;2021
Buss;Sarah;1981;FDP;24;11;Niedersachsen;2021
Maas;Stefan;1962;GRÜNE;24;30;Niedersachsen;2021
Albers;Friedrich-Bernd;1969;DIE LINKE;24;;;2021
Kleen;Diedrich;1972;Tierschutzpartei;24;;;2021
Krüger;Detlev;1970;FREIE WÄHLER;24;21;Niedersachsen;2021
Frerichs;David Janus;2002;dieBasis;24;;;2021
Lenz;Anton Heinrich;1954;EB: Lenz 24; 24;;;2021
Connemann;Gitta;1964;CDU;25;3;Niedersachsen;2021
Troff-Schaffarzyk;Anja;1969;SPD;25;14;Niedersachsen;2021
Asi;Ferhat;1992;FDP;25;22;Niedersachsen;2021
Kühnlenz;Holger Uwe;1961;AfD;25;;;2021
Pahlke;Julian Nils Christoph;1991;GRÜNE;25;12;Niedersachsen;2021
Jesiek;Kai-Uwe;1965;DIE LINKE;25;;;2021
Gil Brand;Rafael;1959;dieBasis;25;;;2021
Balzer;Siegfried Gert;1951;EB: Balzer 25; 25;;;2021
Janssen;Anne;1982;CDU;26;6;Niedersachsen;2021
Möller;Siemtje Victoria Regine Ilse Santjer;1983;SPD;26;6;Niedersachsen;2021
Theemann;Hendrik;1969;FDP;26;20;Niedersachsen;2021
Wundrak;Franz Josef Joachim;1955;AfD;26;1;Niedersachsen;2021
Beckmann;Sina Maria;1981;GRÜNE;26;21;Niedersachsen;2021
Adler;Hans-Henning;1949;DIE LINKE;26;;;2021
Tönjes;Andreas;1969;Die PARTEI;26;;;2021
Lang;Andreas Georg Alexander;1957;FREIE WÄHLER;26;27;Niedersachsen;2021
Zimmer;Carsten;1977;MLPD;26;;;2021
Henning;Andrea Gisela;1965;dieBasis;26;5;Niedersachsen;2021
Albani;Stephan Theodor Johannes;1968;CDU;27;11;Niedersachsen;2021
Rohde;Dennis;1986;SPD;27;7;Niedersachsen;2021
Rüdel;Daniel Stephan;1992;FDP;27;10;Niedersachsen;2021
Paul;Andreas;1978;AfD;27;;;2021
Menge;Patrizia Susanne;1960;GRÜNE;27;13;Niedersachsen;2021
Mohamed Ali;Amira;1980;DIE LINKE;27;1;Niedersachsen;2021
Striess;Nicole;1972;FREIE WÄHLER;27;9;Niedersachsen;2021
Lubitz;Holger Klaus Friedel;1971;PIRATEN;27;7;Niedersachsen;2021
Krüger;Michael;1967;ÖDP;27;;;2021
Jensen;Johanna Friederike;1988;MLPD;27;;;2021
Berends;Werner Georg;1970;dieBasis;27;;;2021
Ahrends;Jens;1960;LKR;27;;;2021
Albrecht;Philipp Josef Erich;1995;CDU;28;26;Niedersachsen;2021
Mittag;Susanne;1958;SPD;28;2;Niedersachsen;2021
Dürr;Christian;1977;FDP;28;1;Niedersachsen;2021
Golkontt;Adam Jan;1984;AfD;28;;;2021
Schröder;Christina-Johanne;1983;GRÜNE;28;3;Niedersachsen;2021
Suhr;Christian;1980;DIE LINKE;28;;;2021
Laukenings;Kevin;1997;Die PARTEI;28;30;Niedersachsen;2021
Holsten;Dieter;1950;FREIE WÄHLER;28;14;Niedersachsen;2021
Halt;Frank-Rüdiger;1948;dieBasis;28;;;2021
