wahlberechtigte;wahlkreis;jahr
186413;Recklinghausen II;2021
199344;Bottrop – Recklinghausen III;2021
202388;Steinfurt I – Borken I;2021
201103;Borken II;2021
194695;Coesfeld – Steinfurt II;2021
195513;Steinfurt III;2021
233953;Münster;2021
208754;Warendorf;2021
234177;Gütersloh I;2021
201888;Minden-Lübbecke I;2021
226894;Herford – Minden-Lübbecke II;2021
243059;Bielefeld – Gütersloh II;2021
231534;Paderborn;2021
224415;Lippe I;2021
172435;Höxter – Gütersloh III – Lippe II;2021
175283;Ennepe-Ruhr-Kreis II;2021
201594;Hagen – Ennepe-Ruhr-Kreis I;2021
206727;Dortmund I;2021
173939;Herne – Bochum II;2021
202393;Bochum I;2021
199317;Dortmund II;2021
231811;Soest;2021
231226;Hamm – Unna II;2021
200496;Hochsauerlandkreis;2021
194493;Unna I;2021
195816;Märkischer Kreis II;2021
203350;Olpe – Märkischer Kreis I;2021
207672;Siegen-Wittgenstein;2021
224100;Leipzig I;2021
212853;Leipzig-Land;2021
161279;Nordsachsen;2021
197004;Meißen;2021
231178;Leipzig II;2021
206895;Bautzen I;2021
199703;Sächsische Schweiz-Osterzgebirge;2021
204105;Görlitz;2021
234432;Dresden II – Bautzen II;2021
228643;Dresden I;2021
193828;Mittelsachsen;2021
188691;Chemnitz;2021
177211;Chemnitzer Umland – Erzgebirgskreis II;2021
210941;Erzgebirgskreis I;2021
184973;Vogtlandkreis;2021
197831;Zwickau;2021
218474;Kassel;2021
184073;Waldeck;2021
185944;Schwalm-Eder;2021
181588;Marburg;2021
171886;Werra-Meißner – Hersfeld-Rotenburg;2021
208542;Fulda;2021
217514;Gießen;2021
206532;Lahn-Dill;2021
179842;Hochtaunus;2021
186735;Wiesbaden;2021
176897;Wetterau I;2021
220466;Rheingau-Taunus – Limburg;2021
178307;Main-Kinzig – Wetterau II – Schotten;2021
195514;Main-Taunus;2021
201216;Frankfurt am Main I;2021
176271;Hanau;2021
174082;Groß-Gerau;2021
233901;Odenwald;2021
