id;vorname;nachname;geburtsjahr;partei_id;jahr
416;Diana;Rieck-Vogt;1972;1;2021
417;Yasmin;Fahimi;1967;2;2021
418;Knut;Gerschau;1961;4;2021
419;Reinhard;Hirche;1948;3;2021
420;Sven-Christian;Kindler;1985;6;2021
421;Parwaneh Tayabeh;Bokah Tamejani;1958;5;2021
422;Julian;Klippert;1988;9;2021
423;Robert Rouven Christian;Wulff;1991;10;2021
424;Andreas;Hey;1964;8;2021
425;Thomas Ernst Erich Emil;Ganskow;1967;12;2021
426;Else Anne Käthe;Kleffel;1951;18;2021
427;Niels Daniel;Heinrich;1972;28;2021
428;Eduard;Kirschmann;1963;24;2021
429;Hendrik;Hoppenstedt;1972;1;2021
430;Rebecca;Schamber;1975;2;2021
431;Grigorios;Aggelidis;1965;4;2021
432;Dietmar;Friedhoff;1966;3;2021
433;Jens;Palandt;1967;6;2021
434;Michael;Braedt;1951;5;2021
435;Ýr Estrid;Langhorst;1999;9;2021
436;Jens;Klingebiel;1970;10;2021
437;Olaf;Engel;1971;12;2021
438;Iris;Krobjinski;1963;28;2021
439;Mirco;Zschoch;1969;34;2021
440;Inessa;Kober;1991;58;2021
441;Henning Rudolf Helmut;Otte;1968;1;2021
442;Dirk-Ulrich August Heinrich;Mende;1957;2;2021
443;Anja;Schulz;1985;4;2021
444;Thomas Ludwig Walter;Ehrhorn;1959;3;2021
445;Markus Erik;Jordan;1961;6;2021
446;Christoph Josef;Podstawa;1982;5;2021
447;Philip;Siebold;1998;8;2021
448;Andrew Niko;Schlüter;1967;59;2021
449;Ingrid;Pahlmann;1957;1;2021
450;Wolfgang-Hubertus;Heil;1972;2;2021
451;Thomas;Schellhorn;1961;4;2021
452;Stefan;Marzischewski-Drewes;1965;3;2021
453;Henrik;Werner;1988;6;2021
454;Andreas;Mantzke;1987;5;2021
455;Marika;Orend;1965;10;2021
456;Wolfgang;Gemba;1953;8;2021
457;Marita Christa;Draheim;1959;28;2021
458;Nadine;Schladebeck;1978;34;2021
459;Ute Vibeke;Neumann;1954;60;2021
460;Angela Vera;Kunick;1953;61;2021
461;Mareike Lotte;Wulf;1979;1;2021
462;Johannes;Schraps;1983;2;2021
463;Moritz;Mönkemeyer;2000;4;2021
464;Delia Susanne;Klages;1960;3;2021
465;Helge Stefan;Limburg;1982;6;2021
466;Stephan;Marquardt;1984;5;2021
467;Carsten;Schürmann;1978;8;2021
468;Andreas Franz;Janus;1963;28;2021
469;Tilman Moritz;Kuban;1987;1;2021
470;Matthias;Miersch;1968;2;2021
471;Nadin;Zaya;1998;4;2021
472;Dirk;Brandes;1974;3;2021
473;Simone;Meyer;1981;6;2021
474;Thorsten;Kuhn;1975;5;2021
475;Lisa-Marie;Rosien;1998;9;2021
476;Claudia;Klitz;1958;10;2021
477;Moritz;Krienke;1987;8;2021
478;Uwe Gerhard;Kopec;1963;12;2021
479;Eva-Maria;Görres;1966;28;2021
480;Wolfgang;Göller;1950;62;2021
481;Ute;Bertram;1961;1;2021
482;Bernd Helmut;Westphal;1960;2;2021
483;Henrik Harald Malte;Jacobs;1986;4;2021
484;Frank Martin Klaus;Rinck;1986;3;2021
485;Ottmar Wilhelm;Holtz;1961;6;2021
486;Rita;Krüger;1951;5;2021
487;Heinrich;Kalvelage;1959;8;2021
488;Phil;Höfer;1995;12;2021
489;Henry;Kucz;1987;13;2021
490;Michael;Fritsch;1963;28;2021
491;Reinhard;Wieczorek;1970;63;2021
492;Otwin;Herzig;1953;64;2021
493;Holger;Bormann;1981;1;2021
494;Dunja Eleonore Angelika;Kreiser;1971;2;2021
495;Max;Weitemeier;1999;4;2021
496;Thomas Karl;Günther;1971;3;2021
497;Claudia;Bei der Wieden;1965;6;2021
498;Victor Angelo;Perli;1982;5;2021
499;Günter Karl-Heinz;Gehmert;1947;8;2021
500;Jens Bruno;Golland;1966;12;2021
501;Volker Karl;Eyssen;1954;28;2021
502;Christiane Anna Berta Waltraut;Jagau;1962;65;2021
503;Paul;Deutsch;1951;66;2021
504;Carsten;Müller;1970;1;2021
505;Christos;Pantazis;1975;2;2021
506;Anikó;Merten;1982;4;2021
507;Frank Markus;Weber;1964;3;2021
508;Margaux Gerlind Jeanne Hildegard;Erdmann;1986;6;2021
509;Alper;Özgür;1963;5;2021
510;Eike;Jankun;1964;8;2021
511;Anna Saskia;Wolters;1983;14;2021
512;Klaus Joachim;Arndt;1966;13;2021
513;Philipp;Schwartz;1988;18;2021
514;Christoph;Bedürftig;1981;28;2021
515;Christian;Helck;1965;34;2021
516;Peter Paul;Rosenbaum;1950;67;2021
517;Andreas Michael;Wolter;1964;68;2021
518;Erdmann;Gust;1965;69;2021
519;Andreas;Weber;1979;1;2021
520;Falko;Mohrs;1984;2;2021
521;Kristin Erika;Krumm;1987;4;2021
522;Stephanie;Scharfenberg;1974;3;2021
523;Frank;Bsirske;1952;6;2021
524;Bernd Hermann;Mex;1964;5;2021
525;Frank Josef;Schrödl;1967;8;2021
526;Dora Maria;Weigl;1981;13;2021
527;Peter Volker;Kunick;1956;70;2021
528;Wilfried;Wiesenthal;1959;71;2021
529;Johann Sebastian Günter;Hönig;1951;72;2021
530;Roy;Kühne;1967;1;2021
531;Frauke;Heiligenstadt;1966;2;2021
532;Jan Henrik;Schwede;1996;4;2021
533;Jens;Kestner;1971;3;2021
534;Karoline;Otte;1996;6;2021
535;Eva-Maria;Brunnemann;1956;5;2021
536;Christian Dieter;Warzecha;1993;8;2021
537;Janine;Reinecke;1978;28;2021
538;Jürgen;Schäuble-Leopold;1963;73;2021
539;Fritz;Güntzler;1966;1;2021
540;Andreas Milan Gerhard;Philippi;1965;2;2021
541;Konstantin Elias;Kuhle;1989;4;2021
542;Jürgen;Trittin;1954;6;2021
543;Thomas;Goes;1980;5;2021
544;Kay;Langemeier;1977;18;2021
545;Manfred Rainer Günther;Sohn;1955;21;2021
546;Gabriele;Winkel;1962;28;2021
547;Olaf;Töpperwien;1969;34;2021
548;Sarah Janina;Ryglewski;1983;2;2021
549;Thomas;Röwekamp;1966;1;2021
550;Cindi;Tuncel;1977;5;2021
551;Kirsten;Kappert-Gonther;1966;6;2021
552;Heinrich;Löhmann;1961;3;2021
553;Volker;Redder;1959;4;2021
554;Merle;Andersen;1995;9;2021
555;Patrick;Strauß;1976;8;2021
556;Wolfgang;Lange;1952;18;2021
557;Ronald-Oliver;Marahrens;1965;28;2021
558;Antje;Piegsa;1960;13;2021
559;Bennet;Henking;1997;24;2021
560;Cornelia;Balog-Broschinski;1964;10;2021
561;Michael;Speer;1987;40;2021
562;Uwe;Schmidt;1966;2;2021
563;Wiebke;Winter;1996;1;2021
564;Doris;Achelwilm;1976;5;2021
565;Michael;Labetzke;1970;6;2021
566;Thomas;Jürgewitz;1959;3;2021
567;Gökhan;Akkamis;1997;4;2021
568;Ralf;Fasmers;1964;9;2021
569;Katharina;Büntjen;1955;8;2021
570;Rolf;Bode;1972;14;2021
571;Jürgen;Bader;1960;18;2021
572;Annette;Kaufmann;1953;28;2021
573;Kara;Tober;1995;13;2021
574;Mathis;Härtel;1994;24;2021
575;Christian;Daum;1983;12;2021
576;Sebastian;Steineke;1973;1;2021
577;Dominik Alexander;Kaufner;1983;3;2021
578;Wiebke;Papenbrock;1979;2;2021
579;Anja Maria;Mayer;1979;5;2021
580;Thomas;Essig;1965;4;2021
581;Maximilian;Kowol;2000;6;2021
582;Corvin;Drößler;1999;9;2021
583;Michael;Güldener;1970;8;2021
584;Stephan Gustav;Dietzsch;1976;28;2021
585;Axel;Heidkamp;1958;12;2021
586;Norbert;Glamann;1961;74;2021
587;Willi;Eckelmann;1963;75;2021
588;Jens;Koeppen;1962;1;2021
589;Hannes;Gnauck;1991;3;2021
590;Stefan;Zierke;1970;2;2021
591;Isabelle;Czok-Alm;1973;5;2021
592;Friedhelm Günter;Boginski;1955;4;2021
593;Michael;Kellner;1977;6;2021
594;Niels;Neudeck;1968;9;2021
595;Jörg Manfred;Arnold;1965;8;2021
596;Thomas;Löb;1966;13;2021
597;Richard;Mac Lean;1949;28;2021
