partei_id;wahlkreis_id;jahr;anzahl
11;18;2017;316
9;18;2017;4929
8;18;2017;1038
13;18;2017;1090
18;18;2017;317
244;18;2017;0
15;18;2017;0
21;18;2017;0
10;18;2017;0
14;18;2017;0
12;18;2017;0
2;19;2017;41947
1;19;2017;37575
6;19;2017;20817
5;19;2017;19704
4;19;2017;12482
3;19;2017;7425
11;19;2017;0
9;19;2017;3471
8;19;2017;490
13;19;2017;0
18;19;2017;256
244;19;2017;0
15;19;2017;0
21;19;2017;0
10;19;2017;0
14;19;2017;0
342;19;2017;156
281;19;2017;286
262;19;2017;320
12;19;2017;0
2;20;2017;48920
1;20;2017;44416
6;20;2017;23220
5;20;2017;16123
4;20;2017;10537
3;20;2017;8777
11;20;2017;0
9;20;2017;0
8;20;2017;0
13;20;2017;983
18;20;2017;297
244;20;2017;0
15;20;2017;0
21;20;2017;0
10;20;2017;0
14;20;2017;0
327;20;2017;1457
12;20;2017;0
2;21;2017;54695
1;21;2017;59441
6;21;2017;24065
5;21;2017;13277
4;21;2017;14911
3;21;2017;9701
11;21;2017;0
9;21;2017;0
8;21;2017;1273
13;21;2017;0
18;21;2017;0
244;21;2017;0
15;21;2017;0
21;21;2017;0
10;21;2017;0
14;21;2017;0
12;21;2017;0
2;22;2017;59086
1;22;2017;50822
6;22;2017;12112
5;22;2017;15673
4;22;2017;12007
3;22;2017;16208
11;22;2017;399
9;22;2017;3026
8;22;2017;1534
13;22;2017;0
18;22;2017;0
244;22;2017;0
15;22;2017;0
21;22;2017;0
10;22;2017;0
14;22;2017;0
12;22;2017;0
2;23;2017;53446
1;23;2017;43274
6;23;2017;11903
5;23;2017;16382
4;23;2017;8039
3;23;2017;16688
11;23;2017;530
9;23;2017;0
8;23;2017;1091
13;23;2017;1296
18;23;2017;253
244;23;2017;0
15;23;2017;0
21;23;2017;0
10;23;2017;0
14;23;2017;0
326;23;2017;345
274;23;2017;521
12;23;2017;0
1;24;2017;38531
2;24;2017;69231
6;24;2017;9787
5;24;2017;9403
4;24;2017;6882
3;24;2017;0
12;24;2017;2304
11;24;2017;0
10;24;2017;0
8;24;2017;3326
18;24;2017;0
244;24;2017;0
15;24;2017;0
21;24;2017;0
245;24;2017;0
13;24;2017;0
9;24;2017;0
14;24;2017;0
310;24;2017;120
1;25;2017;87406
2;25;2017;48959
6;25;2017;8255
5;25;2017;7726
4;25;2017;7758
3;25;2017;13387
12;25;2017;0
11;25;2017;0
10;25;2017;0
8;25;2017;0
18;25;2017;0
244;25;2017;0
15;25;2017;0
21;25;2017;0
245;25;2017;0
13;25;2017;0
9;25;2017;1298
14;25;2017;0
1;26;2017;44537
2;26;2017;54504
6;26;2017;7542
5;26;2017;8127
4;26;2017;8074
3;26;2017;11392
12;26;2017;0
11;26;2017;0
10;26;2017;0
8;26;2017;1236
18;26;2017;182
244;26;2017;0
15;26;2017;0
21;26;2017;0
245;26;2017;0
13;26;2017;0
9;26;2017;1749
14;26;2017;0
1;27;2017;52598
2;27;2017;63235
6;27;2017;19827
5;27;2017;14081
4;27;2017;10635
3;27;2017;11592
12;27;2017;0
11;27;2017;0
10;27;2017;0
8;27;2017;1393
18;27;2017;0
244;27;2017;0
15;27;2017;0
21;27;2017;0
245;27;2017;0
13;27;2017;809
9;27;2017;0
14;27;2017;0
1;28;2017;57390
2;28;2017;55326
6;28;2017;12933
5;28;2017;10262
4;28;2017;15208
3;28;2017;15122
12;28;2017;0
11;28;2017;0
10;28;2017;0
8;28;2017;1987
18;28;2017;0
244;28;2017;0
15;28;2017;0
21;28;2017;0
245;28;2017;0
13;28;2017;0
9;28;2017;0
14;28;2017;0
1;29;2017;59930
2;29;2017;43077
6;29;2017;8491
5;29;2017;8121
4;29;2017;6984
3;29;2017;11862
12;29;2017;0
11;29;2017;0
10;29;2017;0
8;29;2017;1828
18;29;2017;0
244;29;2017;0
15;29;2017;0
21;29;2017;0
245;29;2017;0
13;29;2017;0
9;29;2017;0
14;29;2017;0
1;30;2017;67463
2;30;2017;42829
6;30;2017;10613
5;30;2017;7994
4;30;2017;8797
3;30;2017;12590
12;30;2017;1334
11;30;2017;0
10;30;2017;0
8;30;2017;0
18;30;2017;0
244;30;2017;0
15;30;2017;0
21;30;2017;0
245;30;2017;0
13;30;2017;0
9;30;2017;0
14;30;2017;0
286;30;2017;232
1;31;2017;95815
2;31;2017;47107
6;31;2017;8900
5;31;2017;6813
4;31;2017;10089
3;31;2017;8949
12;31;2017;0
11;31;2017;0
10;31;2017;0
8;31;2017;0
18;31;2017;0
244;31;2017;0
15;31;2017;0
21;31;2017;0
245;31;2017;0
13;31;2017;0
9;31;2017;951
14;31;2017;0
1;32;2017;93545
2;32;2017;32997
6;32;2017;7034
5;32;2017;6640
4;32;2017;8306
3;32;2017;12683
12;32;2017;0
11;32;2017;0
10;32;2017;0
8;32;2017;914
18;32;2017;0
244;32;2017;0
15;32;2017;0
21;32;2017;0
245;32;2017;0
13;32;2017;0
9;32;2017;0
14;32;2017;0
44;32;2017;0
1;33;2017;65465
2;33;2017;40102
6;33;2017;11252
5;33;2017;7759
4;33;2017;10285
3;33;2017;11955
12;33;2017;0
11;33;2017;0
10;33;2017;0
8;33;2017;0
18;33;2017;0
244;33;2017;0
15;33;2017;0
21;33;2017;0
245;33;2017;0
13;33;2017;0
9;33;2017;0
14;33;2017;0
1;34;2017;59560
2;34;2017;48505
6;34;2017;10146
5;34;2017;10714
4;34;2017;8273
3;34;2017;12995
12;34;2017;0
11;34;2017;0
10;34;2017;0
8;34;2017;1072
18;34;2017;0
244;34;2017;0
15;34;2017;0
21;34;2017;0
245;34;2017;0
13;34;2017;0
9;34;2017;0
14;34;2017;0
280;34;2017;503
1;35;2017;45510
2;35;2017;51938
6;35;2017;6053
5;35;2017;5219
4;35;2017;5659
3;35;2017;10331
12;35;2017;0
11;35;2017;0
10;35;2017;0
8;35;2017;1387
18;35;2017;0
244;35;2017;0
15;35;2017;0
21;35;2017;0
245;35;2017;0
13;35;2017;0
9;35;2017;0
14;35;2017;0
1;36;2017;65223
2;36;2017;44017
6;36;2017;14565
5;36;2017;8638
4;36;2017;10458
3;36;2017;14826
12;36;2017;0
11;36;2017;0
10;36;2017;0
8;36;2017;2785
18;36;2017;0
244;36;2017;0
15;36;2017;0
21;36;2017;0
245;36;2017;0
13;36;2017;0
9;36;2017;0
14;36;2017;0
1;37;2017;46740
2;37;2017;39169
6;37;2017;20604
5;37;2017;11729
4;37;2017;9245
3;37;2017;12131
12;37;2017;0
11;37;2017;0
10;37;2017;0
8;37;2017;0
18;37;2017;0
244;37;2017;0
15;37;2017;0
21;37;2017;0
245;37;2017;0
13;37;2017;0
9;37;2017;0
14;37;2017;0
1;38;2017;68379
2;38;2017;42438
6;38;2017;11613
5;38;2017;7908
4;38;2017;9576
3;38;2017;9934
12;38;2017;0
11;38;2017;0
10;38;2017;0
8;38;2017;0
18;38;2017;0
244;38;2017;0
15;38;2017;0
21;38;2017;0
245;38;2017;0
13;38;2017;0
9;38;2017;0
14;38;2017;0
29;38;2017;228
1;39;2017;60185
2;39;2017;47279
6;39;2017;15108
5;39;2017;12521
4;39;2017;13353
3;39;2017;0
12;39;2017;0
11;39;2017;0
10;39;2017;0
8;39;2017;0
18;39;2017;0
244;39;2017;0
15;39;2017;0
21;39;2017;962
245;39;2017;0
13;39;2017;0
9;39;2017;0
14;39;2017;0
1;40;2017;59128
2;40;2017;47615
6;40;2017;11206
5;40;2017;6530
4;40;2017;6539
3;40;2017;13292
12;40;2017;1167
11;40;2017;0
10;40;2017;0
8;40;2017;0
18;40;2017;0
244;40;2017;0
15;40;2017;0
21;40;2017;0
245;40;2017;0
13;40;2017;0
9;40;2017;0
14;40;2017;0
1;41;2017;39487
2;41;2017;47549
6;41;2017;12102
5;41;2017;9579
4;41;2017;8734
3;41;2017;11364
12;41;2017;1231
11;41;2017;0
10;41;2017;0
8;41;2017;668
18;41;2017;163
244;41;2017;0
15;41;2017;0
21;41;2017;137
245;41;2017;0
13;41;2017;0
9;41;2017;2401
14;41;2017;0
1;42;2017;42713
2;42;2017;49744
6;42;2017;16486
5;42;2017;13775
4;42;2017;8165
3;42;2017;10590
12;42;2017;1516
11;42;2017;0
10;42;2017;0
8;42;2017;0
18;42;2017;235
244;42;2017;0
15;42;2017;0
21;42;2017;232
245;42;2017;0
13;42;2017;0
9;42;2017;4168
14;42;2017;0
1;43;2017;72282
2;43;2017;59552
6;43;2017;10725
5;43;2017;8958
4;43;2017;9325
3;43;2017;17217
12;43;2017;0
11;43;2017;0
10;43;2017;0
8;43;2017;2037
18;43;2017;0
244;43;2017;0
15;43;2017;0
21;43;2017;0
245;43;2017;0
13;43;2017;0
9;43;2017;0
14;43;2017;0
1;44;2017;68655
2;44;2017;48189
6;44;2017;9266
5;44;2017;7901
4;44;2017;8830
3;44;2017;16199
12;44;2017;0
11;44;2017;0
10;44;2017;0
8;44;2017;1756
18;44;2017;0
244;44;2017;0
15;44;2017;0
21;44;2017;0
245;44;2017;0
13;44;2017;0
9;44;2017;0
14;44;2017;0
1;45;2017;60345
2;45;2017;63294
6;45;2017;9342
5;45;2017;8827
4;45;2017;8062
3;45;2017;16501
12;45;2017;0
11;45;2017;0
10;45;2017;0
8;45;2017;0
18;45;2017;277
244;45;2017;0
15;45;2017;0
21;45;2017;0
245;45;2017;0
13;45;2017;0
9;45;2017;0
14;45;2017;0
29;45;2017;725
1;46;2017;46181
2;46;2017;54130
6;46;2017;7511
5;46;2017;8220
4;46;2017;8034
3;46;2017;13143
12;46;2017;1250
11;46;2017;0
10;46;2017;0
8;46;2017;0
18;46;2017;0
244;46;2017;0
15;46;2017;0
21;46;2017;0
245;46;2017;0
13;46;2017;0
9;46;2017;0
14;46;2017;0
1;47;2017;65815
2;47;2017;69104
6;47;2017;10693
5;47;2017;10124
4;47;2017;10092
3;47;2017;17570
12;47;2017;1677
11;47;2017;0
10;47;2017;0
8;47;2017;1691
18;47;2017;0
244;47;2017;0
15;47;2017;0
21;47;2017;0
245;47;2017;0
13;47;2017;0
9;47;2017;0
14;47;2017;0
1;48;2017;60457
2;48;2017;62448
6;48;2017;12691
5;48;2017;8502
4;48;2017;9330
3;48;2017;14433
12;48;2017;0
11;48;2017;0
10;48;2017;0
8;48;2017;0
18;48;2017;0
244;48;2017;0
15;48;2017;0
21;48;2017;0
245;48;2017;0
13;48;2017;0
9;48;2017;0
14;48;2017;0
1;49;2017;45310
2;49;2017;66587
6;49;2017;6680
5;49;2017;9290
4;49;2017;7268
3;49;2017;18564
12;49;2017;1335
11;49;2017;0
10;49;2017;0
8;49;2017;0
18;49;2017;0
244;49;2017;0
15;49;2017;0
21;49;2017;0
245;49;2017;0
13;49;2017;0
9;49;2017;0
14;49;2017;0
65;49;2017;283
324;49;2017;162
1;50;2017;45881
2;50;2017;55641
6;50;2017;11761
5;50;2017;11145
4;50;2017;7877
3;50;2017;11377
12;50;2017;0
11;50;2017;0
10;50;2017;0
8;50;2017;0
18;50;2017;344
244;50;2017;0
15;50;2017;0
21;50;2017;0
