vorname;nachname;geburtsjahr;Partei;wahlkreis_id;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Marco;Bedrich;1993;SPD;-1;Brandenburg;16;;;;;2017
Jens;Beeck;1969;FDP;31;Niedersachsen;2;;;;;2017
Olaf;in der Beek;1967;FDP;140;Nordrhein-Westfalen;19;;;;;2017
Nicola Gertrud Ruth;Beer;1970;FDP;182;Hessen;1;;;;;2017
Floris;Beer;1999;Die PARTEI;63;-1;-1;;;;;2017
Julia;Beerhold;1965;DiB;-1;Nordrhein-Westfalen;4;;;;;2017
Maik;Beermann;1981;CDU;40;Niedersachsen;26;;;;;2017
Fabian;Beese;1998;V-Partei³;-1;Niedersachsen;12;;;;;2017
Boris;Behnke;1970;PIRATEN;-1;Hessen;17;;;;;2017
Karsten;Behr;1969;BGE;-1;Mecklenburg-Vorpommern;2;;;;;2017
Rainer;Behrend;1967;DM;-1;Bayern;15;;;;;2017
Volker;Behrendt;1967;ÖDP;23;Hamburg;1;;;;;2017
Michael;Behrendt;1972;PIRATEN;-1;Hessen;9;;;;;2017
Diethelm Dietmar;Behrendt;1956;MLPD;-1;Mecklenburg-Vorpommern;8;;;;;2017
Klaus;Behrendt;1954;Die PARTEI;-1;Berlin;72;;;;;2017
Rainer Heinrich Wilhelm;Behrens;1950;DIE LINKE;21;Hamburg;7;;;;;2017
Manfred;Behrens;1956;CDU;67;Sachsen-Anhalt;5;;;;;2017
Matthias;Behrens;1972;NPD;-1;Niedersachsen;2;;;;;2017
Beatrice Anette;Behrens;1963;DiB;-1;Hamburg;1;;;;;2017
Herbert Dietrich;Behrens;1954;DIE LINKE;34;-1;-1;;;;;2017
Kyra;Behrje;1985;DIE LINKE;-1;Bremen;3;;;;;2017
Heiko Hans;Behrmann;1969;V-Partei³;-1;Bayern;23;;;;;2017
Astrid;Beier;1974;FREIE WÄHLER;160;Sachsen;3;;;;;2017
Klaus;Beier;1966;NPD;-1;Brandenburg;2;;;;;2017
Julian;Beier;1994;PIRATEN;-1;Baden-Württemberg;16;;;;;2017
Andreas;Beier;1971;UNABHÄNGIGE;255;-1;-1;;;;;2017
Karin;Beinhorn;1964;DKP;-1;Niedersachsen;6;;;;;2017
Günter Manfred;Belka;1959;MLPD;-1;Nordrhein-Westfalen;9;;;;;2017
Veronika;Bellmann;1960;CDU;161;Sachsen;7;;;;;2017
Erika Hannelore;Beltz;1944;DKP;-1;Hessen;2;;;;;2017
Michael Karl;Beltz;1941;DKP;-1;Hessen;20;;;;;2017
Friederike;Benda;1987;DIE LINKE;80;Berlin;11;;;;;2017
Judith;Benda;1987;DIE LINKE;82;Berlin;7;;;;;2017
Julien;Bender;1985;SPD;281;Baden-Württemberg;24;;;;;2017
Anna-Lena;Bender;1984;CDU;-1;Hessen;40;;;;;2017
Martin;Bender;1977;FREIE WÄHLER;-1;Saarland;3;;;;;2017
Mark;Dr. Benecke;1970;Die PARTEI;101;Nordrhein-Westfalen;1;;;;;2017
Jens Curt Frithjof;Dr. Bengen;1970;DM;-1;Hessen;2;;;;;2017
Sybille;Benning;1961;CDU;129;Nordrhein-Westfalen;28;;;;;2017
Reiner;Bent;1974;Tierschutzpartei;-1;Nordrhein-Westfalen;3;;;;;2017
Wilhelm;Benz;1953;DKP;-1;Baden-Württemberg;9;;;;;2017
Daniela;Benze;1981;Die PARTEI;-1;Berlin;62;;;;;2017
Patrick;Berberich;1979;CDU;-1;Rheinland-Pfalz;34;;;;;2017
Alexander Wanja;Berberich;1989;Die PARTEI;-1;Sachsen;18;;;;;2017
Miro;Berbig;1964;DIE LINKE;8;-1;-1;;;;;2017
Manfred;Berchem;1967;AfD;98;-1;-1;;;;;2017
Jörg;Berens;1979;FDP;129;Nordrhein-Westfalen;39;;;;;2017
Joachim;vom Berg;1974;FDP;118;Nordrhein-Westfalen;35;;;;;2017
Ronald;Berg;1966;FREIE WÄHLER;-1;Hessen;20;;;;;2017
Eva Gabriela;Dr. Berg;1960;FDP;-1;Bayern;48;;;;;2017
Hans-Joachim;Dr. Berg;1948;AfD;-1;Berlin;6;;;;;2017
Johannes;Berger;1954;FREIE WÄHLER;65;Brandenburg;9;;;;;2017
Franz Herbert;Dr. Berger;1961;SPD;63;Brandenburg;14;;;;;2017
Monika;Berger;1969;SPD;-1;Rheinland-Pfalz;28;;;;;2017
Petra;Berger-Kauffmann;1959;FREIE WÄHLER;-1;Rheinland-Pfalz;11;;;;;2017
Markus Heinz-Josef;Bergforth;1966;SPD;154;Sachsen;14;;;;;2017
André;Dr. Berghegger;1972;CDU;38;Niedersachsen;22;;;;;2017
Susanne;Berghoff;1956;Tierschutzpartei;-1;Niedersachsen;4;;;;;2017
Thomas;Bergmann;1966;ÖDP;294;Baden-Württemberg;5;;;;;2017
Astrid;Bergmann-Hartl;1969;FREIE WÄHLER;204;Rheinland-Pfalz;4;;;;;2017
Ralf Markus;Berlingen;1967;FDP;-1;Rheinland-Pfalz;17;;;;;2017
Peter;Bernau-Wagner;1979;B*;-1;Berlin;4;;;;;2017
Michael-Tillmann;Dr. Berndt;1956;PIRATEN;24;Niedersachsen;1;;;;;2017
Marc;Bernhard;1972;AfD;271;Baden-Württemberg;9;;;;;2017
Bettina;Bernhard;1961;FREIE WÄHLER;-1;Nordrhein-Westfalen;7;;;;;2017
Winfried;Prof. Dr. Bernhardt;1937;AfD;-1;Niedersachsen;17;;;;;2017
Ina Nadine;Bernshausen;1979;GRÜNE;-1;Hessen;11;;;;;2017
Melanie;Bernstein;1976;CDU;6;Schleswig-Holstein;8;;;;;2017
Christoph;Bernstiel;1984;CDU;72;Sachsen-Anhalt;7;;;;;2017
Christian Hinrich Gottfried;Dr. Bernzen;1962;SPD;-1;Hamburg;10;;;;;2017
Mario Francisco;Berrios Miranda;1971;DKP;61;Brandenburg;1;;;;;2017
Achim Oliver;Bertram;1971;FDP;209;Rheinland-Pfalz;40;;;;;2017
Ute;Bertram;1961;CDU;48;Niedersachsen;14;;;;;2017
Otfried Richard;Best;1957;NPD;-1;Saarland;3;;;;;2017
Alexander Peter;Best;1973;SPD;-1;Hessen;41;;;;;2017
Marieluise-Anelie;Bethke;1956;CDU;-1;Baden-Württemberg;45;;;;;2017
Achim Rainer;Betticher;1958;Tierschutzpartei;-1;Nordrhein-Westfalen;4;;;;;2017
Florian;Betz;1985;GRÜNE;-1;Sachsen-Anhalt;7;;;;;2017
Lorenz Gösta;Beutin;1978;DIE LINKE;6;Schleswig-Holstein;2;;;;;2017
Heidi Herma Elise;Beutin;1945;DIE LINKE;10;-1;-1;;;;;2017
Peter;Beyer;1970;CDU;105;Nordrhein-Westfalen;50;;;;;2017
Seda;Dr. Beyer;1974;Gesundheitsforschung;-1;Nordrhein-Westfalen;2;;;;;2017
Thomas;Bezler;1966;DM;-1;Baden-Württemberg;12;;;;;2017
Marc;Biadacz;1979;CDU;260;-1;-1;;;;;2017
Matern;Marschall von Bieberstein;1962;CDU;281;-1;-1;;;;;2017
Bernd Michael;Bieder;1960;DM;-1;Brandenburg;8;;;;;2017
Daniel;Biedermann;1978;FREIE WÄHLER;-1;Schleswig-Holstein;4;;;;;2017
Reinhard;Biedermann;1973;DM;-1;Bayern;13;;;;;2017
Wilfried;Biedermann;1951;AfD;218;-1;-1;;;;;2017
Michael;Bienek;1977;PDV;297;Saarland;1;;;;;2017
Andreas;Bienstein;1968;FREIE WÄHLER;-1;Niedersachsen;5;;;;;2017
Frank;Biermann;1965;V-Partei³;-1;Nordrhein-Westfalen;23;;;;;2017
Hannah;Bierstedt;1982;Die PARTEI;-1;Schleswig-Holstein;12;;;;;2017
Harald;Biester;1963;ÖDP;-1;Niedersachsen;6;;;;;2017
Joachim Fritz Anton;Bigus;1958;DKP;39;Niedersachsen;1;;;;;2017
Steffen;Bilger;1979;CDU;265;Baden-Württemberg;6;;;;;2017
Sertac;Bilgin;1981;CDU;-1;Rheinland-Pfalz;18;;;;;2017
Angela Ramona;Binder;1978;ÖDP;-1;Hessen;1;;;;;2017
Raimund;Binder;1964;ÖDP;251;-1;-1;;;;;2017
Karin;Binder;1957;DIE LINKE;284;-1;-1;;;;;2017
Lothar;Binding;1950;SPD;274;Baden-Württemberg;4;;;;;2017
Michael;Binek;1978;BGE;-1;Thüringen;9;;;;;2017
Hartmut;Biniek;1952;Die PARTEI;-1;Berlin;50;;;;;2017
Karlheinz;Binner;1967;ÖDP;235;Bayern;5;;;;;2017
