Wahlkreis_Nr;SVB_insgesamt;SVB_landw_fischerei;SVB_produz_gewerbe;SVB_handel_gast_verkehr;SVB_dienstleister;SVB_uebrige_dienstleister;Alter_unter_18;Alter_18_24;Alter_25_34;Alter_35_59;Alter_60_74;Alter_75_plus;ALQ_frauen;ALQ_15_24;ALQ_55_64;ALQ_insgesamt;ALQ_maenner;year
119;418.9;0.1;17;20.9;31.6;30.5;15.5;8.3;13.9;34.5;16.2;11.5;11.1;10.5;9.9;11.9;12.6;2017
120;413.3;0.1;17;20.9;31.6;30.5;15.5;8.3;13.9;34.5;16.2;11.5;11.1;10.5;9.9;11.9;12.6;2017
121;259.3;0.5;27.4;22.7;14;35.4;15.4;7.5;11.2;36.6;17.8;11.5;10.1;6.6;10.3;10.5;10.8;2017
122;259.9;0.5;27.4;22.7;14;35.4;15.6;7.6;10.8;37;17.3;11.8;10.1;6.6;10.3;10.5;10.8;2017
123;300.2;0.1;24.7;20.4;21.8;33;16.8;8.3;12.6;35.4;16.1;10.8;13.8;10.9;12.3;14.1;14.3;2017
124;357.7;1.1;36.4;24.2;13.5;24.7;19;8.9;11.7;36.1;14.5;9.6;4.3;2.2;4.9;4.4;4.5;2017
125;269.8;0.5;28.3;22.4;14.3;34.5;16.1;7.7;11.1;36.4;17.4;11.2;9;6.2;9.1;9.5;9.9;2017
126;378.4;1.2;40.8;21.8;13.2;23;18.4;8.7;11.6;36.7;14.8;9.8;3.8;1.4;4.9;3.9;4;2017
127;307;1.9;30.1;24.2;13.3;30.4;18;8.2;10.4;37.4;15.9;10.1;2.9;2;3.7;3.3;3.6;2017
128;344.5;1;33.2;26;13.8;26;18.3;8.4;11.2;37;14.9;10.3;4.6;2.9;4.9;4.8;4.9;2017
129;530.4;0.4;13;18.7;29.3;38.5;15;12.6;18.1;32.5;12.7;9.1;4.8;3.3;6.9;5.5;6.3;2017
130;321.1;1.3;41.1;19;14.1;24.4;18.1;8;10.9;36.4;15.8;10.8;5.4;3;5.8;5.7;5.8;2017
131;468.5;0.6;45.6;21;16.5;16.3;18.1;8.4;12;36.7;14.6;10.2;4.9;1.8;4.8;4.7;4.6;2017
132;449.1;0.2;22.6;22.9;20.3;34;16.9;9.2;14.5;33.9;14.5;11;8.2;6;8.4;8.6;9;2017
133;367.1;0.5;40.3;23;13;23.3;16.9;7.8;11.2;36;15.9;12.1;5.4;3;6.2;5.7;6;2017
134;398.5;0.5;34.7;19.7;14.9;30.2;17.7;8.1;11.2;35.5;15.8;11.7;4.8;3.2;5.1;5.3;5.8;2017
135;313.1;0.7;35.8;19.5;13;31;17.6;8.1;11;34.7;16.3;12.3;6.5;4.1;6.2;6.9;7.3;2017
136;307.3;0.9;35.3;20.6;11.6;31.7;17.6;8.4;11;35.1;16.1;11.7;5.3;3.1;5.9;5.9;6.4;2017
137;389;0.7;33;20.7;18.1;27.4;18.2;9.4;13.9;35.3;14.1;9.1;5.6;3.2;6.8;5.8;6;2017
138;353;0.1;30.6;23.4;15.4;30.5;16.3;7.8;11.5;35.4;16.9;12;8.9;8.4;8.6;9.4;9.9;2017
139;321.8;0.2;38.4;20.6;12.4;28.4;15;7.5;11.1;36.4;17.9;12.2;6;3;6.6;6.5;7;2017
