nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Bilger;Steffen;1979;CDU;265;Baden-Württemberg;6;2017
Bilgin;Sertac;1981;CDU;;Rheinland-Pfalz;;2017
Binder;Angela Ramona;1978;ÖDP;;Hessen;;2017
Binder;Raimund;1964;ÖDP;251;;;2017
Binder;Karin;1957;DIE LINKE;284;;;2017
Binding;Lothar;1950;SPD;274;Baden-Württemberg;4;2017
Binek;Michael;1978;BGE;;Thüringen;;2017
Biniek;Hartmut;1952;Die PARTEI;;Berlin;;2017
Binner;Karlheinz;1967;ÖDP;235;Bayern;5;2017
Birkholz;Björn;1975;Die PARTEI;;Baden-Württemberg;;2017
Birkle;Waldemar;1973;AfD;279;;;2017
Birkner;Jan-Hendrik;1980;Die PARTEI;;Berlin;;2017
Birkner;Cornelia;1961;FREIE WÄHLER;;Sachsen-Anhalt;;2017
Birkwald;Matthias W.;1961;DIE LINKE;94;Nordrhein-Westfalen;2;2017
Birlinger;Sebastian;1984;Die PARTEI;;Bayern;;2017
Bisanz;Burkhard;1958;SPD;;Niedersachsen;;2017
Bischoff;Frank-Ronald;1948;AfD;68;Sachsen-Anhalt;7;2017
Bist;Andreas;1978;FDP;111;Nordrhein-Westfalen;46;2017
Bittel;Günther;1953;MLPD;115;Nordrhein-Westfalen;23;2017
Bittmann;Oliver;1963;GRÜNE;166;;;2017
Bitzka;Jens;1971;GRÜNE;156;;;2017
Blandin;Jérôme;1995;V-Partei³;;Berlin;;2017
Bläsing;Robert;1982;FDP;21;Hamburg;3;2017
Blattner;Cornelia;1964;CDU;;Sachsen;;2017
Blaum;Henrike;1989;SPD;;Hessen;;2017
Bleck;Andreas;1988;AfD;197;Rheinland-Pfalz;3;2017
Bleidistel;Heike;1941;Die Grauen;;Berlin;;2017
Blenk;Karl-Heinz;1963;BGE;;Bayern;;2017
Bleser;Peter;1952;CDU;200;Rheinland-Pfalz;2;2017
Blickensdorf;Lothar (Lo Graf von Blickensdorf);1951;Die PARTEI;80;;;2017
Blienert;Burkhard;1966;SPD;137;Nordrhein-Westfalen;27;2017
Bloch;Andreas;1960;DM;;Berlin;;2017
Bloch;Wolfgang;1971;DM;;Baden-Württemberg;;2017
Blödner;Christoph Karl;1982;FDP;160;Sachsen;11;2017
Blödner;Bettina;1958;DM;;Thüringen;;2017
Blohm;Annegret Ingrid Ingeburg;1947;DiB;;Bayern;;2017
Bludovsky;Simon Georg;1976;DIE LINKE;211;;;2017
Bluhm;Heidrun;1958;DIE LINKE;17;Mecklenburg-Vorpommern;2;2017
Blum;Arnold;1952;MLPD;56;Brandenburg;2;2017
Blum de Sardón;Verena;1975;DM;;Brandenburg;;2017
Blume;Fabian;1978;du.;;Berlin;;2017
Blume;Sebastian;1985;EB: Blume 83; 83;;;2017
Blumenthal;Mirjam;1972;SPD;;Berlin;;2017
Blumenthal;Sebastian;1974;FDP;5;;;2017
Blümlein;Thorsten;1971;AfD;184;;;2017
Blümmel;Bernd Friedrich;1963;DKP;;Hessen;;2017
Bochmann;Martin Klaus;1974;Die PARTEI;;Sachsen-Anhalt;;2017
Bochtler;Mario;1963;Tierschutzpartei;;Nordrhein-Westfalen;;2017
Bock;Reinhard Winfried Ulrich Emil;1952;DiB;;Niedersachsen;;2017
Bock;Kai;1974;DIE LINKE;268;;;2017
Bockelmann;Catharina Brigitte;1987;SPD;;Brandenburg;;2017
Böckmann;Helena Suzanne;1987;CDU;;Nordrhein-Westfalen;;2017
Bodenschatz;Mathias Bernd;1975;DM;;Bayern;;2017
Boehle;Matthias;1993;Die PARTEI;;Sachsen;;2017
Boehlke;Florian;1979;SPD;;Bremen;;2017
Boehringer;Peter Christian Pascal;1969;AfD;232;Bayern;2;2017
Böhlen;Markus;1966;GRÜNE;293;Baden-Württemberg;36;2017
Böhm;Michael;1970;PIRATEN;239;Bayern;9;2017
Böhm;Martin;1964;AfD;238;Bayern;29;2017
Böhme;Andreas;1960;FREIE WÄHLER;190;Thüringen;1;2017
Böhme;Martin-Maurice;1981;CDU;;Rheinland-Pfalz;;2017
Bohn;Marcel;1983;Die PARTEI;;Nordrhein-Westfalen;;2017
Bohnenberger;Oliver;1965;DiB;;Baden-Württemberg;;2017
Bohnenkamp;Hermann;1956;Bündnis C;38;;;2017
Bohnert;Duancon;1975;NPD;180;;;2017
Bohn-Klein;Helmut Rudi;1952;MLPD;299;Saarland;4;2017
Böhringer;Richard;1944;FDP;255;Bayern;51;2017
du Bois;Elke;1959;FREIE WÄHLER;66;Sachsen-Anhalt;2;2017
Bok;Karl-Heinz;1951;ÖDP;;Baden-Württemberg;;2017
Bokah Tamejani;Tayabeh;1958;DIE LINKE;42;;;2017
Bokelmann;Hanke Friedrich;1981;FDP;171;Hessen;16;2017
Boldt;René;1973;CSU;;Bayern;;2017
Bollmann;Gereon Martin;1953;AfD;4;Schleswig-Holstein;3;2017
Bolm;Jens Manuel;1982;Die PARTEI;41;Niedersachsen;17;2017
Bombeck;Johannes;1962;ÖDP;;Nordrhein-Westfalen;;2017
Bonn;Udo Adam;1953;DIE LINKE;106;;;2017
Boolzen;Karin Michaela;1964;ÖDP;224;;;2017
Borchart;Sebastian Oliver;1990;DIE LINKE;;Saarland;;2017
Borchert;Miriam;1984;Die PARTEI;;Thüringen;;2017
Borchert;Mario;1970;EB: Borchert 56; 56;;;2017
Born;Thomas;1983;BüSo;;Sachsen;;2017
Bornack;Jörg;1953;GRÜNE;151;;;2017
Borodan;Pawel;1974;PIRATEN;182;Hessen;2;2017
Boroviczény;Georg;1947;PIRATEN;;Berlin;;2017
