nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Schmelz;Klaus-Joachim;1952;GRÜNE;33;;;2017
Schmid;Christoph Florian;1976;SPD;254;Bayern;34;2017
Dr. Schmid;Nils;1973;SPD;262;Baden-Württemberg;6;2017
Schmid;Sarah;1989;CDU;;Baden-Württemberg;;2017
Schmid;Kathrin Eva;1982;V-Partei³;;Bayern;;2017
Schmid;Ulrich;1962;BGE;;Nordrhein-Westfalen;;2017
Schmid;Richard Josef;1953;BGE;;Sachsen-Anhalt;;2017
Schmid;Andreas;1975;Die PARTEI;;Nordrhein-Westfalen;;2017
Schmid;Lukas;1997;DIE LINKE;213;;;2017
Dr. Schmid;Karl;1938;EB: Schmid 235; 235;;;2017
Schmidhuber;Anna;1988;GRÜNE;;Bayern;;2017
Schmidt;Hans-Jürgen;1950;SPD;73;Sachsen-Anhalt;8;2017
Schmidt;Uwe;1966;SPD;55;Bremen;2;2017
Schmidt;Stephan;1984;AfD;14;Mecklenburg-Vorpommern;5;2017
Schmidt;Felix;1990;GRÜNE;210;Rheinland-Pfalz;6;2017
Schmidt;Stefan;1981;GRÜNE;233;Bayern;10;2017
Schmidt;Julian;1989;AfD;171;Hessen;9;2017
Schmidt;Carina;1986;FDP;276;Baden-Württemberg;19;2017
Schmidt;Christian;1957;CSU;243;Bayern;6;2017
Dr. Schmidt;Frithjof;1953;GRÜNE;140;Nordrhein-Westfalen;6;2017
Schmidt;Matthias;1963;SPD;84;Berlin;10;2017
Schmidt;Ursula (Ulla);1949;SPD;87;Nordrhein-Westfalen;10;2017
Schmidt;Dagmar;1973;SPD;172;Hessen;4;2017
Dr. Schmidt;Stephan Josef;1960;SPD;;Saarland;;2017
Schmidt;Silke;1991;CDU;;Baden-Württemberg;;2017
Schmidt;Thomas;1963;DiB;;Sachsen-Anhalt;;2017
Schmidt;Andre;1987;MLPD;;Hamburg;;2017
Schmidt;Björn;1983;DKP;;Niedersachsen;;2017
Schmidt;Robin;1992;DKP;;Hessen;;2017
Schmidt;Rosita;1966;BGE;;Nordrhein-Westfalen;;2017
Schmidt;Christoph;1984;DM;;Hessen;;2017
Schmidt;Edda;1948;NPD;;Baden-Württemberg;;2017
Schmidt;Eugen;1975;AfD;;Nordrhein-Westfalen;;2017
Schmidt;Lutz;1965;FDP;;Hamburg;;2017
Schmidt;Volker Heinz Otto;1962;FREIE WÄHLER;;Niedersachsen;;2017
Schmidt;Oliver;1969;PIRATEN;;Baden-Württemberg;;2017
Schmidt;"Norbert (Gildo; Eggs)";1969;Die PARTEI;;Thüringen;;2017
Schmidt;Joachim;1960;SPD;;Nordrhein-Westfalen;;2017
Dr. Schmidt;Paul;1966;AfD;;Baden-Württemberg;;2017
Schmidt;Marion;1954;MLPD;219;;;2017
Schmidt;Robert;1974;AfD;275;;;2017
Schmidt;Gisela;1953;EB: Schmidt 66; 66;;;2017
Schmidt;Aaron Bastian;1974;Die PARTEI;210;;;2017
Schmidt;Christian;1972;AfD;58;;;2017
Schmidt;Renate;1959;MLPD;295;;;2017
Schmidt;Sibylle;1961;AfD;83;;;2017
Schmidt-Berg;Lars;1978;CDU;;Niedersachsen;;2017
Isaak de Schmidt-Bohländer;Esther;1964;Die PARTEI;22;Hamburg;18;2017
Dr. Schmidt-Jortzig;Edzard Aurelius;1969;FDP;37;Niedersachsen;9;2017
Prof. Dr. Schmidtke;Claudia;1966;CDU;11;Schleswig-Holstein;9;2017
Schmidtke;Richard;1986;EB: Schmidtke 171; 171;;;2017
Schmidtmann;Vanja;1971;Tierschutzpartei;;Niedersachsen;;2017
Schmiech;Sebastian;1989;PIRATEN;;Baden-Württemberg;;2017
Schmiedgen;Stephanie;1985;Die PARTEI;;Sachsen;;2017
Schmitt;Arno Bernhard;1966;ÖDP;247;Bayern;9;2017
Schmitt;Martin;1964;GRÜNE;198;Rheinland-Pfalz;14;2017
Schmitt;Wolfgang;1959;GRÜNE;176;Hessen;12;2017
Schmitt;Thomas Günter;1960;FREIE WÄHLER;;Hessen;;2017
Schmitt;Michael Fred;1964;DM;;Saarland;;2017
Schmitt;Günter;1950;SPD;;Hessen;;2017
Schmitt;Roman;1984;PIRATEN;;Rheinland-Pfalz;;2017
Dr. Schmitt;Franz Josef;1978;PIRATEN;;Berlin;;2017
Schmitz;Rebecca;1984;BGE;;Schleswig-Holstein;;2017
Dr. Schmitz-Rixen;Jutta;1944;CDU;;Baden-Württemberg;;2017
Schmuck;Alexander;1986;CDU;;Schleswig-Holstein;;2017
Schnapp;Kerstin;1976;GRÜNE;214;;;2017
Schneider;Jörg;1964;AfD;123;Nordrhein-Westfalen;5;2017
Schneider;Ronny;1982;FREIE WÄHLER;73;Sachsen-Anhalt;5;2017
Schneider;Joachim;1972;AfD;7;Schleswig-Holstein;4;2017
Schneider;Johannes;1957;ÖDP;200;Rheinland-Pfalz;1;2017
Schneider;Carsten;1976;SPD;193;Thüringen;1;2017
Schneider;Iko;1967;ÖDP;;Niedersachsen;;2017
Schneider;Michael;1977;NPD;;Hessen;;2017
Schneider;Anja;1968;Die Grauen;;Berlin;;2017
Schneider;Daniel;1977;AfD;;Sachsen-Anhalt;;2017
Schneider;Marion;1966;Die PARTEI;;Nordrhein-Westfalen;;2017
Schneider;Marion;1956;EB: Schneider 191; 191;;;2017
Schneiderreit;Sebastian;1978;Die PARTEI;;Berlin;;2017
Schneidewind-Hartnagel;Charlotte;1953;GRÜNE;276;Baden-Württemberg;15;2017
Schnelle;Sascha;1986;BGE;;Nordrhein-Westfalen;;2017
Schnellinger;Martin;1970;ÖDP;;Berlin;;2017
Schnepper;David;1982;Die Humanisten;;Nordrhein-Westfalen;;2017
Schnieder;Patrick;1968;CDU;202;Rheinland-Pfalz;1;2017
Schniggendiller;Marion;1962;GRÜNE;130;;;2017
Schniske;Frank;1974;FDP;88;Nordrhein-Westfalen;47;2017
Schnurre;Jörg;1979;FDP;70;Sachsen-Anhalt;4;2017
Scho-Antwerpes;Elfi;1952;SPD;94;Nordrhein-Westfalen;34;2017
Schober;Erik;1970;Die PARTEI;;Baden-Württemberg;;2017
Schoenrock;Torsten;1962;NPD;;Niedersachsen;;2017
Schölch;Anna-Maria;1973;CDU;;Hessen;;2017
Scholl;Manfred;1969;CSU;;Bayern;;2017
Scholtz;Michele;1993;Die PARTEI;;Rheinland-Pfalz;;2017
Scholz;Peter Michael;1946;BGE;;Hamburg;;2017
Schölzel;Ivaloo Elisabeth;1954;FREIE WÄHLER;;Hessen;;2017
Schön;Nadine;1983;CDU;298;Saarland;2;2017
Schon;Gerd;1956;AfD;;Saarland;;2017
Schön;Stefan;1974;GRÜNE;65;;;2017
Schönau;Nele;1979;GRÜNE;;Baden-Württemberg;;2017
Schöndube;Sven;1988;AfD;;Sachsen-Anhalt;;2017
Schöne;Matthias;1968;Die PARTEI;;Hamburg;;2017
Schoner;Katja;1970;SPD;;Niedersachsen;;2017
Schönhardt;Holger;1965;BGE;;Berlin;;2017
Schönheit;Hendrik;1989;DM;;Thüringen;;2017
Schopf;Kathrin;1981;V-Partei³;;Bayern;;2017
Schöpfer;Tina;1975;GRÜNE;;Saarland;;2017
Schorn;Rainer;1962;AfD;298;;;2017
Schorpp;Michaela;1965;GRÜNE;;Baden-Württemberg;;2017
Schorpp;Hans Joachim Felix Hermann;1942;V-Partei³;;Saarland;;2017
Schrade;René;1970;NPD;;Baden-Württemberg;;2017
Dr. Schrader;Klaus;1955;GRÜNE;239;Bayern;33;2017
Schrader;Katharina Marianne Ute;1981;SPD;256;Bayern;22;2017
Schramm;Ingo;1972;FDP;50;Niedersachsen;21;2017
Schramm;Manfred;1960;PIRATEN;;Nordrhein-Westfalen;;2017
Schramm;Fred;1967;DM;;Brandenburg;;2017
Schramm;Julia;1985;DIE LINKE;;Berlin;;2017
Schramm;Klaus Frank Andreas;1962;PIRATEN;61;;;2017
Schrank;Marc-Oliver;1979;Die PARTEI;;Niedersachsen;;2017
Schrapp;Wolfgang Erwin;1958;FREIE WÄHLER;255;Bayern;18;2017
Schraps;Johannes;1983;SPD;46;Niedersachsen;13;2017
Schregle;Robert Adolf;1963;AfD;229;;;2017
Schreiber;Eva-Maria Elisabeth;1958;DIE LINKE;221;Bayern;7;2017
Schreiber;Peter;1973;NPD;155;Sachsen;6;2017
Schreiber;Ines;1973;NPD;;Sachsen;;2017
Schreinemacher;Walter Leo;1958;FREIE WÄHLER;90;;;2017
Schreiner;Katharina;1987;FDP;183;Hessen;15;2017
Schreiner;Bernd Norbert Harry;1967;PIRATEN;;Thüringen;;2017
Schreiner;Felix;1986;CDU;288;;;2017
Schreyer;Timo;1965;AfD;;Sachsen;;2017
Schröder;Lars Christian;1967;FDP;190;Thüringen;8;2017
Schröder;Ria;1992;FDP;20;Hamburg;4;2017
Schröder;Christina-Johanne;1983;GRÜNE;28;Niedersachsen;7;2017
Schröder;Frank Manfred;1982;BGE;;Hessen;;2017
Schrodi;Michael;1977;SPD;215;Bayern;17;2017
Schröter;Ove Joachim;1967;Die PARTEI;5;Schleswig-Holstein;15;2017
Schröter;Olaf;1968;MENSCHLICHE WELT;;Berlin;;2017
Schröter;Matthias;1977;DM;;Brandenburg;;2017
Schröter;Karl-Martin;1961;FDP;226;;;2017
Schubert;Manfred;1970;PIRATEN;;Thüringen;;2017
Schuberth;Sven Bernhard;1977;DiB;;Sachsen;;2017
Schuchardt;Rainer;1950;FREIE WÄHLER;8;Schleswig-Holstein;2;2017
Dr. Schuchmann;Lothar;1940;DIE LINKE;288;;;2017
Schuffenhauer;Andreas Mario;1960;AfD;59;;;2017
Schuh;Christian;1980;Die Humanisten;;Nordrhein-Westfalen;;2017
Schuldis;Steffen;1986;EB: Schuldis 258; 258;;;2017
Dr. Schüle;Manja;1976;SPD;61;Brandenburg;3;2017
Graf von der Schulenburg;Hermann;1961;FDP;136;Nordrhein-Westfalen;25;2017
Schüler;Michael;1964;FREIE WÄHLER;196;;;2017
Schuler;Elfriede;1966;EB: Schuler 293; 293;;;2017
Schüller;Titus;1986;DIE LINKE;244;;;2017
Schulmeyer;Gerhard Heinz;1951;DKP;;Hessen;;2017
Schulte;Michael;1962;FDP;150;Nordrhein-Westfalen;49;2017
Schulte;Ursula;1952;SPD;126;Nordrhein-Westfalen;8;2017
Dr. Schulte;Bernhard;1985;CDU;;Nordrhein-Westfalen;;2017
Schulte;Keno;1982;Die PARTEI;;Nordrhein-Westfalen;;2017
Schulteisz;Andrea;1958;Die PARTEI;;Berlin;;2017
Schulte-Schoh;Antje;1963;SPD;39;Niedersachsen;26;2017
Dr. Schulte-Wissermann;Martin;1971;PIRATEN;160;Sachsen;4;2017
Schultheis;Katharina;1986;GRÜNE;74;;;2017
Schulz;Claudia;1977;GRÜNE;13;Mecklenburg-Vorpommern;3;2017
Schulz;Michael;1977;Die Grauen;77;Berlin;1;2017
Schulz;Uwe;1961;AfD;173;Hessen;3;2017
Schulz;Anja;1985;FDP;44;Niedersachsen;17;2017
Schulz;Ralph Jimmy;1968;FDP;221;Bayern;4;2017
Schulz;Swen;1968;SPD;78;Berlin;2;2017
Schulz;Rudolf;1956;FREIE WÄHLER;;Hessen;;2017
Schulz;Mario;1968;NPD;;Niedersachsen;;2017
Schulz;Philipp;1991;Die PARTEI;;Mecklenburg-Vorpommern;;2017
Schulz;Martin;1955;SPD;;Nordrhein-Westfalen;;2017
Schulz;Laura;1994;FREIE WÄHLER;;Hessen;;2017
Schulz-Asche;Kordula Anna Paula;1956;GRÜNE;181;Hessen;3;2017
Schulze;Karl-Heinz;1955;MLPD;15;Mecklenburg-Vorpommern;5;2017
Schulze;Sebastian Richard;1976;AfD;133;Nordrhein-Westfalen;18;2017
Dr. Schulze;Klaus-Peter Friedrich Walter;1954;CDU;64;Brandenburg;6;2017
Schulze;Bob;1965;BGE;;Sachsen;;2017
Prof. Dr. Schulze;Joachim;1952;GRÜNE;157;;;2017
Schumacher;Heinz;1953;FREIE WÄHLER;187;Hessen;8;2017
Schumacher;Sabine;1965;PIRATEN;282;Baden-Württemberg;19;2017
Schumacher;Florian Wolfgang;1980;Gesundheitsforschung;;Bayern;;2017
Schumacher;Dirk;1961;BGE;;Nordrhein-Westfalen;;2017
Schumann;Ulrich;1964;DiB;;Baden-Württemberg;;2017
Schumann;Klaus-Dieter Eberhard;1952;DM;;Brandenburg;;2017
Schumann;Gudrun;1956;DIE LINKE;;Sachsen;;2017
Schumann;Ina;1986;Die PARTEI;259;;;2017
Schumm;Daniel;1974;Die PARTEI;;Berlin;;2017
Schummer;Klaus Gerhard;1972;PIRATEN;296;Saarland;2;2017
Schummer;Uwe;1957;CDU;111;Nordrhein-Westfalen;39;2017
Schupp;Anna;1983;MLPD;186;Hessen;7;2017
Schüppenhauer;Peter;1983;FREIE WÄHLER;176;Hessen;28;2017
Schurer;Ewald;1954;SPD;213;Bayern;5;2017
Schüßler;Mathias Gerhard;1998;GRÜNE;;Bayern;;2017
Schuster;Hans-Martin;1982;CDU;;Nordrhein-Westfalen;;2017
Schuster;Jan;1994;Die PARTEI;168;;;2017
Schuster;Armin;1961;CDU;282;;;2017
Schütt;Rainer Erich;1944;NPD;13;Mecklenburg-Vorpommern;6;2017
Schütte;Daniel Marian;1969;AfD;299;;;2017
Schütten;Rainer;1953;SPD;;Nordrhein-Westfalen;;2017
Schütz;Annette;1960;SPD;;Niedersachsen;;2017
Schütze-Lülsdorf;Susanne;1966;DIE LINKE;92;;;2017
Dr. Schützendübel;Andres;1968;FDP;122;;;2017
Schützinger;Jürgen;1953;NPD;286;Baden-Württemberg;3;2017
Schwab;Andreas;1965;DM;;Baden-Württemberg;;2017
Schwabe;Frank;1970;SPD;121;Nordrhein-Westfalen;54;2017
Schwäbsch;Walter;1952;AfD;287;Baden-Württemberg;18;2017
Schwalb;Gisela;1959;MLPD;;Baden-Württemberg;;2017
Schwalbach;Lucas;1991;FDP;179;Hessen;10;2017
Schwanitz;Hans;1977;GRÜNE;93;;;2017
Schwartz;Philipp;1988;MLPD;14;Mecklenburg-Vorpommern;2;2017
Schwartze;Stefan;1974;SPD;133;Nordrhein-Westfalen;35;2017
Schwarz;Maik;1986;DIE LINKE;166;Sachsen;12;2017
Schwarz;Edeltraud;1967;AfD;226;Bayern;16;2017
Schwarz;Angela;1956;FREIE WÄHLER;70;Sachsen-Anhalt;3;2017
Schwarz;Andreas;1965;SPD;236;Bayern;13;2017
Dr. Schwarz;Christian;1974;CSU;;Bayern;;2017
Schwarz;Jan;1982;SPD;;Niedersachsen;;2017
Schwarz;Alix Elisabeth Anneliese;1989;Die PARTEI;;Hessen;;2017
Schwarzbach;Lennart Sebastian Stefan;1990;NPD;23;Hamburg;1;2017
Schwarze;Valentin;1996;Die PARTEI;217;Bayern;18;2017
Schwarzelühr-Sutter;Rita;1962;SPD;288;Baden-Württemberg;3;2017
Schwarzer;Andreas;1961;FDP;215;Bayern;55;2017
Schwarzer;Christina;1976;CDU;82;Berlin;6;2017
Dr. Schweer;Heike Gertrud Ursula;1955;CDU;;Niedersachsen;;2017
Schwegmann;Uta;1972;V-Partei³;;Nordrhein-Westfalen;;2017
Schweiger;Torsten;1968;CDU;74;Sachsen-Anhalt;8;2017
Schweigert;Bernhard;1955;MLPD;274;;;2017
Schweim;Oliver;1967;GRÜNE;;Hamburg;;2017
Schweitzer;Mathias;1965;BGE;;Sachsen-Anhalt;;2017
Schwellnus;Thorsten;1981;FREIE WÄHLER;177;Hessen;6;2017
Schwemmer;Jonas Richard;1991;PIRATEN;246;;;2017
Schwenter;Ulrike;1962;SPD;;Brandenburg;;2017
Schwind;Gregor;1958;BGE;;Nordrhein-Westfalen;;2017
Schwindling;Jessica;1976;CDU;;Saarland;;2017
Schwingler;Dirk;1966;Die PARTEI;;Berlin;;2017
Schwock;Andreas;1994;Die PARTEI;;Sachsen;;2017
Scinardo;Milena;1980;FDP;187;Hessen;13;2017
Sedlaczek;Sabine;1998;DiB;;Nordrhein-Westfalen;;2017
Sedlmayr;Armin Lothar Karl;1988;FDP;229;Bayern;14;2017
Sedlmeier;Jakob;1967;ÖDP;216;;;2017
Seebauer;Nancy;1984;SPD;;Mecklenburg-Vorpommern;;2017
Seeger;Ramona;1987;DIE LINKE;;Bremen;;2017
Seel;Manfred;1954;DIE LINKE;254;;;2017
Seelmäcker;Richard;1973;CDU;;Hamburg;;2017
Seelmeyer;Carsten;1969;FDP;172;Hessen;11;2017
Seelos;Siegfried;1972;BP;226;;;2017
Seemann;Wolfgang;1950;ÖDP;136;Nordrhein-Westfalen;2;2017
von Seemen;Ingo Joachim;1987;DIE LINKE;181;;;2017
Seestern-Pauly;Matthias;1984;FDP;38;Niedersachsen;7;2017
Dr. Seewald;Ilja-Kristin;1968;SPD;181;Hessen;18;2017
Seibert;Martin;1953;SPD;;Bayern;;2017
Seiberth;Lieselotte;1955;MLPD;;Rheinland-Pfalz;;2017
Seidel;Marcus;1970;SPD;52;Niedersachsen;30;2017
Seidel-Grothe;Ina;1962;GRÜNE;85;;;2017
Seidemann;Bernd Joseph;1958;Tierschutzpartei;;Bayern;;2017
Seidl;Norbert;1964;BP;220;;;2017
Seidler;Pascal;1991;DIE LINKE;;Schleswig-Holstein;;2017
Seidler;Susanne;1970;Tierschutzpartei;;Brandenburg;;2017
Seidl-Schulz;Klaus Georg Hermann;1954;FREIE WÄHLER;;Bayern;;2017
Seif;Detlef;1962;CDU;92;Nordrhein-Westfalen;48;2017
Prof. Dr. Seiferlein;Alfred;1958;CSU;;Bayern;;2017
Seifert;Petra Hannelore Michaela;1959;GRÜNE;228;Bayern;32;2017
Seipel;Bernward;1951;ÖDP;;Thüringen;;2017
Seipp;Marianne;1980;Die Grauen;85;;;2017
Seitz;Thomas;1967;AfD;283;Baden-Württemberg;5;2017
Seitz;Andreas;1967;ÖDP;229;;;2017
Dr. Seitz-Hoffmann;Gabriela;1952;GRÜNE;226;Bayern;36;2017
Selbmann;Angelika;1963;V-Partei³;;Bayern;;2017
Selle;Johannes;1956;CDU;191;Thüringen;7;2017
Selzer;René;1961;AfD;;Saarland;;2017
Selzer;Herwig Johannes;1958;DKP;;Hessen;;2017
Selzer;Martina;1964;GRÜNE;169;;;2017
Semmerau;Bernd;1954;BGE;;Brandenburg;;2017
Semmler;Hans-Peter;1978;FDP;263;Baden-Württemberg;30;2017
Semmler;Diego;1986;FREIE WÄHLER;173;Hessen;9;2017
Semrau;Björn Niklas;1978;PIRATEN;;Hessen;;2017
Semsrott;Nico;1986;Die PARTEI;;Berlin;;2017
Sendelbach;Klara;1998;GRÜNE;;Saarland;;2017
Sendker;Reinhold;1952;CDU;130;;;2017
Senf;Ines;1958;FREIE WÄHLER;;Thüringen;;2017
Senger;Joachim;1949;AfD;286;Baden-Württemberg;12;2017
Senges;Norbert;1962;AfD;136;;;2017
Sensburg;Patrick Ernst Hermann;1971;CDU;147;;;2017
Sequeira Gerardo;Benedikt;1986;DiB;;Berlin;;2017
Setter;Manfred Johannes;1952;MLPD;250;Bayern;13;2017
Seufzger;Klaus;1982;ÖDP;230;;;2017
Seybold;Rainer;1964;BGE;;Baden-Württemberg;;2017
Seydel;Olaf Martin Michael Peter;1980;Die PARTEI;;Hamburg;;2017
Seyfarth;Christine;1983;DiB;;Nordrhein-Westfalen;;2017
Seyfert;Karin Eva Sigrid;1956;FDP;;Saarland;;2017
Seyffer;Martin;1952;MLPD;;Hessen;;2017
Dr. Sharityar;Mohammed;1981;DiB;;Baden-Württemberg;;2017
Sichert;Martin Johannes;1980;AfD;244;Bayern;5;2017
Prof. Dr. Siebdrat;Hermann;1960;FDP;148;;;2017
Sieber;Andrea;1977;GRÜNE;264;Baden-Württemberg;17;2017
Sieber;Elisabeth Maria;1967;ÖDP;212;;;2017
Siebert;Bernd;1949;CDU;170;Hessen;5;2017
Siebert;Georg;1949;ÖDP;;Schleswig-Holstein;;2017
Siebig;Martin;1971;PIRATEN;;Baden-Württemberg;;2017
Siebold;Nadine;1981;AfD;;Baden-Württemberg;;2017
Siebold;Philip;1998;FREIE WÄHLER;44;;;2017
Siefert;Lennart;1981;FREIE WÄHLER;;Rheinland-Pfalz;;2017
Siegemund;Jan;1993;FDP;191;Thüringen;5;2017
Siegemund;Doreen;1969;FDP;;Mecklenburg-Vorpommern;;2017
Siegert;Patrick Hans-Peter;1991;Die PARTEI;275;Baden-Württemberg;12;2017
Siegert;Sagitta Barbara;1982;MLPD;;Nordrhein-Westfalen;;2017
Sieling;Claudia Marie Marianne;1965;SPD;;Rheinland-Pfalz;;2017
Siemund;Florian;1994;Die PARTEI;;Rheinland-Pfalz;;2017
Sienhold;Michael;1985;BGE;;Hamburg;;2017
Siering;Nathanael;1987;Die PARTEI;;Berlin;;2017
Siggelkow;Fabian Tobias;1984;Die PARTEI;54;Bremen;8;2017
Silberhorn;Thomas;1968;CSU;236;Bayern;12;2017
Silbersack;Andreas;1967;FDP;74;Sachsen-Anhalt;3;2017
da Silva;Paulo;1968;Die PARTEI;130;;;2017
Freifrau Tucher von Simmelsdorf;Constanze;1960;ÖDP;253;;;2017
Simon;Björn Manuel;1981;CDU;185;Hessen;22;2017
Simon;Michael;1971;SPD;;Rheinland-Pfalz;;2017
Simon;Ansgar;1964;DIE LINKE;;Nordrhein-Westfalen;;2017
Simon;Christian;1968;BGE;;Nordrhein-Westfalen;;2017
Simon;Peter Michael;1938;Tierschutzallianz;;Sachsen-Anhalt;;2017
Singh;Harivender;1954;Tierschutzallianz;;Sachsen-Anhalt;;2017
Dr. Sirois;Herbert;1965;GRÜNE;241;Bayern;41;2017
Sitta;Frank;1978;FDP;72;Sachsen-Anhalt;1;2017
Dr. Sitte;Petra;1960;DIE LINKE;72;Sachsen-Anhalt;1;2017
Skobjin;Christian;1986;Die PARTEI;;Baden-Württemberg;;2017
Skudelny;Judith;1975;FDP;258;Baden-Württemberg;2;2017
Slave;Günter;1955;MLPD;160;Sachsen;1;2017
Smirnow;Maxim;1998;DIE LINKE;5;;;2017
Smuda;Jörg Stefan;1977;PIRATEN;159;Sachsen;5;2017
Snelinski;Oliver;1980;EB: Snelinski 86; 86;;;2017
Sobek;Jörg;1963;PIRATEN;;Hessen;;2017
Sobierei;Herbert;1948;AfD;28;;;2017
Sobolewski;Jörg;1989;AfD;;Berlin;;2017
Soffel;Andrej;1976;Die PARTEI;203;;;2017
Soldan;Hermann;1961;DIE LINKE;1;;;2017
Söllner;Eva;1960;CDU;;Hessen;;2017
Dr. Solms;Hermann Otto;1940;FDP;173;Hessen;3;2017
Dr. Solms;Karl Michael;1951;AfD;116;;;2017
Sölter;Nicolas;1988;CDU;;Schleswig-Holstein;;2017
Sommer;Torsten;1971;PIRATEN;142;Nordrhein-Westfalen;3;2017
Sommer;Jan;1970;GRÜNE;59;Brandenburg;4;2017
Sommer;Klaus Dieter;1947;FREIE WÄHLER;;Hessen;;2017
Sommer;Mario;1969;DM;;Nordrhein-Westfalen;;2017
Sommer;Evrim;1971;DIE LINKE;;Berlin;;2017
Sommerer;Sebastian;1993;DIE LINKE;237;Bayern;12;2017
Sommerfeld;Klaus;1956;PIRATEN;;Thüringen;;2017
Sommerlatte-Hennig;Bettina;1966;FREIE WÄHLER;60;Brandenburg;1;2017
Somuncu;Serdar;1968;Die PARTEI;83;;;2017
Sondermeyer;Ralf;1961;DIE LINKE;138;;;2017
Sonntag;Annabelle;1990;FDP;;Saarland;;2017
Sorge;Tino;1975;CDU;69;Sachsen-Anhalt;3;2017
Sorge;Alexander;1977;DIE LINKE;74;;;2017
Soyka;Robert;1981;FREIE WÄHLER;84;Berlin;1;2017
Spahn;Wanda;1990;V-Partei³;;Baden-Württemberg;;2017
Spahn;Jens;1980;CDU;124;;;2017
Spangenberg;Detlev;1944;AfD;151;Sachsen;4;2017
Dr. Spaniel;Dirk;1971;AfD;258;Baden-Württemberg;10;2017
Späth;Sarah;1988;SPD;;Rheinland-Pfalz;;2017
Späth;Karlheinz;1960;V-Partei³;;Baden-Württemberg;;2017
Spatz;Friedhelm;1957;DKP;;Bayern;;2017
Specker;Nicole;1970;SPD;110;Nordrhein-Westfalen;28;2017
Specker;Konrad;1972;FREIE WÄHLER;;Bayern;;2017
Speckin;Tobias;1977;Die PARTEI;;Niedersachsen;;2017
Speckmann;Marika;1964;ÖDP;;Hessen;;2017
Spengler;Udo Josef;1950;DKP;;Hamburg;;2017
Sperl;David;1990;DIE LINKE;125;;;2017
Sperlich;Michael Reinhard;1947;BGE;;Saarland;;2017
Sperling;Roland;1961;DIE LINKE;108;;;2017
von Spiczak-Brzezinski;Anna;1986;GRÜNE;115;;;2017
Spiecker;Rainer;1961;CDU;102;Nordrhein-Westfalen;31;2017
Spiegel;Sebastian Emanuel;1987;CDU;;Thüringen;;2017
Spiegelberg;Christian;1985;SPD;;Hessen;;2017
Spiegelhalder-Schäfer;Carmen;1965;FREIE WÄHLER;285;Baden-Württemberg;2;2017
Spiekermann;Günther;1962;FREIE WÄHLER;;Bremen;;2017
Spiering;Rainer;1956;SPD;38;Niedersachsen;9;2017
Spies;Alexander;1955;PIRATEN;81;Berlin;5;2017
Spies;Patrick;1987;V-Partei³;;Saarland;;2017
Spilker;Thomas Wilhelm Friedrich;1960;FDP;119;;;2017
Spinrath;Norbert;1957;SPD;89;Nordrhein-Westfalen;23;2017
Spohler;Jakob Arne Moshe;1997;V-Partei³;;Hamburg;;2017
Sporkmann;Carsten;1970;BGE;;Nordrhein-Westfalen;;2017
Sprick;Jürgen;1958;AfD;134;;;2017
Springer;René;1979;AfD;61;Brandenburg;3;2017
Springer;Eva-Marie Elisabeth Gisela;1956;V-Partei³;;Bayern;;2017
Springer;Marian Anton;1944;V-Partei³;;Bayern;;2017
Spring-Räumschüssel;Helene Marianne;1946;AfD;64;;;2017
Sprößler;Christel;1968;SPD;186;Hessen;12;2017
Stadelmann;Walter;1962;ÖDP;246;;;2017
Stader;Stefan Maria;1957;SPD;70;Sachsen-Anhalt;9;2017
Stadler;Svenja;1976;SPD;36;Niedersachsen;8;2017
Stadler;Georg Rudolf;1987;FREIE WÄHLER;;Bayern;;2017
Städter;Peter;1971;PIRATEN;193;Thüringen;3;2017
Stadtmann;Matthias;1969;Die PARTEI;;Nordrhein-Westfalen;;2017
Staffehl;Katja;1982;Die PARTEI;;Thüringen;;2017
Staffler;Katrin;1981;CSU;215;Bayern;19;2017
Stahl;Yvonne Jessica Madelaine;1991;GRÜNE;;Hessen;;2017
Stahl;Marcus;1979;DIE LINKE;24;;;2017
Stähle;Johanna;1987;V-Partei³;;Nordrhein-Westfalen;;2017
Staib;Rainer;1969;CDU;;Baden-Württemberg;;2017
Stalleicher;Josef Stephan;1950;BüSo;;Hessen;;2017
Stalleicken;Martina;1979;MLPD;120;Nordrhein-Westfalen;8;2017
Stallkamp;Johannes Heinrich;1938;BGE;;Niedersachsen;;2017
Stalz;Helmut;1953;FREIE WÄHLER;145;;;2017
Stamm;Hans-Joachim;1952;AfD;;Saarland;;2017
Stamm;Arnim;1961;Die PARTEI;;Berlin;;2017
Stamm;Markus;1970;ÖDP;;Nordrhein-Westfalen;;2017
Stamm-Fibich;Martina;1965;SPD;242;Bayern;14;2017
Prof. Dr. Stangl;Christian Ludwig;1965;FDP;;Bayern;;2017
Stankova;Nadeschda;1984;V-Partei³;;Bayern;;2017
Staratschek;Felix Johannes;1966;EB: Staratschek 99; 99;;;2017
Stark-Watzinger;Bettina;1968;FDP;181;Hessen;4;2017
Starosta;Robert Peter;1970;FREIE WÄHLER;249;Bayern;8;2017
Staudacher;Jeff;1987;FDP;64;;;2017
Staudenmaier;Sebastian;1990;PIRATEN;;Baden-Württemberg;;2017
Stavenhagen;Fritz;1945;V-Partei³;;Rheinland-Pfalz;;2017
