Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Sylvio;Schmeller;1976;dieBasis;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Bergen auf Rügen;Unternehmer;2021
Friedrich;Smyra;1984;PIRATEN;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Stralsund;Pfleger;2021
Philipp;Amthor;1992;CDU;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Ueckermünde;MdB, Jurist;2021
Enrico;Komning;1968;AfD;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Neubrandenburg;MdB, Rechtsanwalt;2021
Toni;Jaschinski;1982;DIE LINKE;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Neubrandenburg;Dipl.-Kaufmann;2021
Erik;Malottki;1986;SPD;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;von;Greifswald;Gewerkschafter;2021
Christian;Bartelt;1976;FDP;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Spantekow;Zahnarzt;2021
Katharina;Horn;1998;GRÜNE;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Greifswald;Bootsbauerin;2021
Anja;Hübner;1989;Tierschutzpartei;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Greifswald;tiermed. Fachangestellte;2021
Matthias;Andiel;1958;FREIE WÄHLER;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Lassan;Restaurator;2021
Wolfgang;Wodarg;1947;dieBasis;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;Dr.;;Berlin;Arzt;2021
Sören;Krüger;2001;EB: Krüger;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Liepgarten;Student;2021
Sophie;Maus;1985;UNABHÄNGIGE;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;;;Trassenheide;Unternehmerin Reisebüro;2021
Stephan;Bunge;1980;CDU;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;Dr.;;Wulkenzin;Verkehrsingenieur;2021
Ulrike;Schielke-Ziesing;1969;AfD;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Groß Teetzleben;Verwaltungswirtin;2021
Amina Inèz;Kanew;1998;DIE LINKE;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Neubrandenburg;Angestellte;2021
Johannes;Arlt;1984;SPD;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Neustrelitz;Berufsoffizier;2021
Tobias;Schubert;1987;FDP;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;;;Altenhof;Produktionsmitarbeiter;2021
