Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;jahr
Lennart Sebastian Stefan;Schwarzbach;1990;NPD;Hamburg-Mitte;-1;-1;2021
Joachim Robert Maria;Griesbaum;1955;MLPD;Hamburg-Mitte;-1;-1;2021
Dennis;Sommer;1985;dieBasis;Hamburg-Mitte;-1;-1;2021
Odin;Janoske-Kizildag;1967;EB: Janoske-Kizildag;Hamburg-Mitte;-1;-1;2021
Marcus;Weinberg;1967;CDU;Hamburg-Altona;-1;-1;2021
Matthias;Bartke;1959;SPD;Hamburg-Altona;-1;-1;2021
Linda;Heitmann;1982;GRÜNE;Hamburg-Altona;-1;-1;2021
Cansu;Özdemir;1988;DIE LINKE;Hamburg-Altona;-1;-1;2021
Fabrice;Henrici;1995;FDP;Hamburg-Altona;-1;-1;2021
Bernd;Baumann;1958;AfD;Hamburg-Altona;-1;-1;2021
Daniel;Meincke;1991;FREIE WÄHLER;Hamburg-Altona;-1;-1;2021
Karlotta;Ahrens;1987;ÖDP;Hamburg-Altona;-1;-1;2021
Christian Traugott;Kölle;1952;MLPD;Hamburg-Altona;-1;-1;2021
Ulrike;Zens;1962;dieBasis;Hamburg-Altona;-1;-1;2021
Frieder Ulrich;Kirsch;1978;PIRATEN;Hamburg-Altona;-1;-1;2021
Bérangère Joséphine;Bultheel;1980;ÖLDP;Hamburg-Altona;-1;-1;2021
Rüdiger;Kruse;1961;CDU;Hamburg-Eimsbüttel;-1;-1;2021
Niels;Annen;1973;SPD;Hamburg-Eimsbüttel;-1;-1;2021
Till Benjamin;Steffen;1973;GRÜNE;Hamburg-Eimsbüttel;-1;-1;2021
Zaklin Jadwiga;Nastić;1980;DIE LINKE;Hamburg-Eimsbüttel;-1;-1;2021
Carolin Rebecca;Hümpel;1964;FDP;Hamburg-Eimsbüttel;-1;-1;2021
Marc Frederic;Cremer-Thursby;1962;AfD;Hamburg-Eimsbüttel;-1;-1;2021
Martin;Sommer;1972;Die PARTEI;Hamburg-Eimsbüttel;-1;-1;2021
Alexander Bruno Wilhelm;Feltz;1997;FREIE WÄHLER;Hamburg-Eimsbüttel;-1;-1;2021
Hannes;Lincke;1980;ÖDP;Hamburg-Eimsbüttel;-1;-1;2021
Uwe Ulrich;Wagner;1959;MLPD;Hamburg-Eimsbüttel;-1;-1;2021
Inke;Meyer;1981;dieBasis;Hamburg-Eimsbüttel;-1;-1;2021
Sören Alexander;Horn;1987;Volt;Hamburg-Eimsbüttel;-1;-1;2021
Christoph Johannes;Ploß;1985;CDU;Hamburg-Nord;-1;-1;2021
Dorothee Katja Julia;Martin;1978;SPD;Hamburg-Nord;-1;-1;2021
Katharina Barbara Maria;Beck;1982;GRÜNE;Hamburg-Nord;-1;-1;2021
Deniz;Celik;1978;DIE LINKE;Hamburg-Nord;-1;-1;2021
Robert;Bläsing;1982;FDP;Hamburg-Nord;-1;-1;2021
Benjamin;Mennerich;1981;AfD;Hamburg-Nord;-1;-1;2021
Almut;Becker;1970;FREIE WÄHLER;Hamburg-Nord;-1;-1;2021
Ingo;Stawitz;1950;NPD;Hamburg-Nord;-1;-1;2021
Susanne Doris;Bader;1956;MLPD;Hamburg-Nord;-1;-1;2021
Jörn;Böttcher;1963;dieBasis;Hamburg-Nord;-1;-1;2021
Steffan;Nethe;1981;LKR;Hamburg-Nord;-1;-1;2021
Franziska Christina Brigitte;Hoppermann;1982;CDU;Hamburg-Wandsbek;-1;-1;2021
Saliha Aydan;Özoğuz;1967;SPD;Hamburg-Wandsbek;-1;-1;2021
Daniel Alexander;Grimm;1978;GRÜNE;Hamburg-Wandsbek;-1;-1;2021
Johan;Graßhoff;1988;DIE LINKE;Hamburg-Wandsbek;-1;-1;2021
Wieland Albert Wilhelm;Schinnenburg;1958;FDP;Hamburg-Wandsbek;-1;-1;2021
Dietmar Werner;Wagner;1952;AfD;Hamburg-Wandsbek;-1;-1;2021
Matthias;Deutsch;1965;ÖDP;Hamburg-Wandsbek;-1;-1;2021
Helmut;Saß;1958;NPD;Hamburg-Wandsbek;-1;-1;2021
Renate Inge-Marie;Dohrn;1954;MLPD;Hamburg-Wandsbek;-1;-1;2021
Michael Erwin;Stein;1960;dieBasis;Hamburg-Wandsbek;-1;-1;2021
Arthur;Kaiser;1982;PIRATEN;Hamburg-Wandsbek;-1;-1;2021
Luca Alexandra;Beitz;1997;Volt;Hamburg-Wandsbek;-1;-1;2021
Uwe Günther;Schneider;1975;CDU;Hamburg-Bergedorf – Harburg;-1;-1;2021
Metin;Hakverdi;1969;SPD;Hamburg-Bergedorf – Harburg;-1;-1;2021
Manuel Ferdinand Theodor;Sarrazin;1982;GRÜNE;Hamburg-Bergedorf – Harburg;-1;-1;2021
Stephan Rüdiger;Jersch;1963;DIE LINKE;Hamburg-Bergedorf – Harburg;-1;-1;2021
Sonja Julia;Jacobsen;1972;FDP;Hamburg-Bergedorf – Harburg;-1;-1;2021
Olga;Petersen;1982;AfD;Hamburg-Bergedorf – Harburg;-1;-1;2021
Thomas;Lindner;1974;FREIE WÄHLER;Hamburg-Bergedorf – Harburg;-1;-1;2021
Manuela;Körlin;1979;ÖDP;Hamburg-Bergedorf – Harburg;-1;-1;2021
Manfred Wilhelm;Dammann;1959;NPD;Hamburg-Bergedorf – Harburg;-1;-1;2021
Narziss;Nianur;1964;MLPD;Hamburg-Bergedorf – Harburg;-1;-1;2021
Katja;Schäfer;1969;dieBasis;Hamburg-Bergedorf – Harburg;-1;-1;2021
Jan-Martin;Thoden;1975;Volt;Hamburg-Bergedorf – Harburg;-1;-1;2021
Joachim Lübbo;Kleen;1974;CDU;Aurich – Emden;-1;-1;2021
Johann;Saathoff;1967;SPD;Aurich – Emden;-1;-1;2021
Sarah;Buss;1981;FDP;Aurich – Emden;-1;-1;2021
Stefan;Maas;1962;GRÜNE;Aurich – Emden;-1;-1;2021
Friedrich-Bernd;Albers;1969;DIE LINKE;Aurich – Emden;-1;-1;2021
Diedrich;Kleen;1972;Tierschutzpartei;Aurich – Emden;-1;-1;2021
