Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Lüder Paul Wilhelm;Möller;1949;MLPD;-1;Schleswig-Holstein;2;;;Lübeck;Gewerbelehrer, Rentner;2021
Karin;Zan Bi;1958;MLPD;-1;Schleswig-Holstein;3;;;Kiel;Postzustellerin;2021
Hans-Joachim;Paulsen;1958;MLPD;-1;Schleswig-Holstein;4;;;Lübeck;Arbeiter;2021
Monika;Losch;1950;MLPD;-1;Schleswig-Holstein;5;;;Groß Grönau;Rentnerin;2021
David Claudio;Siber;1988;dieBasis;-1;Schleswig-Holstein;1;;;Flensburg;Student;2021
Holger;Thiesen;1954;dieBasis;-1;Schleswig-Holstein;2;;;Schülp b. Rendsburg;Rentner;2021
Hanna Louise;Kröger;1980;dieBasis;-1;Schleswig-Holstein;3;;;Hamdorf;Ärztin;2021
Uwe Helmut;Fleischer;1967;dieBasis;-1;Schleswig-Holstein;4;;;Leezen;selbst. Unternehmer;2021
Mudimu;Opayi;1971;dieBasis;-1;Schleswig-Holstein;5;;;Kiel;Biologe;2021
Lilly Gerlinde;König;1969;dieBasis;-1;Schleswig-Holstein;6;;;Neumünster;selbstständig;2021
Björn;Michel;1974;dieBasis;-1;Schleswig-Holstein;7;;;Flintbek;Elektrokonstrukteur;2021
Michael;Metzig;1964;dieBasis;-1;Schleswig-Holstein;8;;;Oldenburg in Holstein;selbst. Veranstalter;2021
Andre Horst;Kerpers;1964;dieBasis;-1;Schleswig-Holstein;9;;;Holtsee;DJ, Techniker;2021
Sandor;Stolz;1966;dieBasis;-1;Schleswig-Holstein;10;;;Risum-Lindholm;Busfahrer;2021
Ralf Armin Klaus;Fiedler;1966;dieBasis;-1;Schleswig-Holstein;11;;;Schmalstede;Dipl.-Ingenieur;2021
Bernd;Goldbogen;1966;dieBasis;-1;Schleswig-Holstein;12;;;Norderstedt;Industriekaufmann;2021
Barbara Kristine;Müller;1958;DKP;-1;Schleswig-Holstein;1;;;Kosel;Honorarkraft Grundschule;2021
Friedrich;Gentzsch;1938;DKP;-1;Schleswig-Holstein;2;;;Bargteheide;Architekt i. R.;2021
Birgit;Gentzsch;1944;DKP;-1;Schleswig-Holstein;3;;;Bargteheide;Lehrerin i. R.;2021
Hans-Jürgen;Hoyen;1952;DKP;-1;Schleswig-Holstein;4;;;Timmendorfer Strand;Sozialarbeiter i. R.;2021
Kirsten Silke;Kastelik;1961;DKP;-1;Schleswig-Holstein;5;;;Lübeck;Fremdsprachenkorrespondentin;2021
Wilfried Emil;Link;1944;DKP;-1;Schleswig-Holstein;6;;;Lübeck;staatl. geprüfter Landwirt;2021
Peter Johannes;Schlüter;1955;DKP;-1;Schleswig-Holstein;7;;;Ahrensburg;Mediengestalter;2021
Ibrahim;Al-Wattar;1982;du.;-1;Schleswig-Holstein;1;;;Reinbek;arbeitslos;2021
Paula Bianka;Abramik;1996;du.;-1;Schleswig-Holstein;2;;;Kiel;arbeitslos;2021
Dariush;Keshavarz Khorasgani;1994;du.;-1;Schleswig-Holstein;3;;;Kiel;Student;2021
Jürgen;Joost;1956;LKR;-1;Schleswig-Holstein;1;;;Neumünster;Geschäftsführer;2021
Uwe Hermann;Christiansen;1961;LKR;-1;Schleswig-Holstein;2;;;Groß Rheide;Berufssoldat a. D.;2021
Christopher;Hähne;1968;LKR;-1;Schleswig-Holstein;3;;;Münsterdorf;IT-Unternehmer;2021
Jannik;Alster;1998;LKR;-1;Schleswig-Holstein;4;;;Lübeck;Immobilienkaufmann;2021
Falko;Vehling;1985;LKR;-1;Schleswig-Holstein;5;;;Kiel;Dipl.-Geophysiker;2021
Rainer;Urban;1942;LKR;-1;Schleswig-Holstein;6;;;Halstenbek;Unternehmer;2021
Sabine;Stephan;1967;LKR;-1;Schleswig-Holstein;7;;;Kiel;Beamtin;2021
Axel;Frey;1984;LKR;-1;Schleswig-Holstein;8;;;Wesselburen;Altenpflegehelfer;2021
Frank Andreas;Brodehl;1971;LKR;-1;Schleswig-Holstein;9;;;Eutin;MdL, Sonderschullehrer a. D.;2021
Siegfried;Lutz;1947;LKR;-1;Schleswig-Holstein;10;;;Neumünster;Pensionär;2021
Marvin;Weidemeier;1999;Die Humanisten;-1;Schleswig-Holstein;1;;;Kiel;Student;2021
Martin;Richter;1988;Die Humanisten;-1;Schleswig-Holstein;2;;;Lübeck;Fachinformatiker;2021
Philipp Helmut;Beye;1988;Die Humanisten;-1;Schleswig-Holstein;3;;;Itzehoe;Studienrat;2021
Sarah;Pleuger;1988;Die Humanisten;-1;Schleswig-Holstein;4;;;Kiel;Archäologin;2021
Martin;Kruse;1984;Die Humanisten;-1;Schleswig-Holstein;5;;;Kiel;Physiker;2021
Merlin;Wehde;1999;Die Humanisten;-1;Schleswig-Holstein;6;;;Ritzerau;Student;2021
Olaf Joachim;Zeuch;1964;Tierschutzpartei;-1;Schleswig-Holstein;1;;;Barkelsby;Krankenpfleger;2021
Hans Thomas;Mumm;1966;Tierschutzpartei;-1;Schleswig-Holstein;2;;;Kölln-Reisiek;IT-Berater;2021
Michael;Thienel;1987;Tierschutzpartei;-1;Schleswig-Holstein;3;;;Rondeshagen;Altenpfleger;2021
Adnan;Muhu;1986;Tierschutzpartei;-1;Schleswig-Holstein;4;;;Eckernförde;Maschinenführer;2021
Petra;Enguchu;1958;Tierschutzpartei;-1;Schleswig-Holstein;5;;;Handewitt;Bürokauffrau;2021
Janine;Bahr-van Gemmert;1967;Tierschutzpartei;-1;Schleswig-Holstein;6;;;Wyk auf Föhr;Tierärztin;2021
Befrin;Muhu;1995;Tierschutzpartei;-1;Schleswig-Holstein;7;;;Eckernförde;Pflegeassistentin;2021
Timo;Ladewig;1997;Tierschutzpartei;-1;Schleswig-Holstein;8;;;Eckernförde;Schuh-Customizer;2021
Anna Katharina;Hampf;1951;Tierschutzpartei;-1;Schleswig-Holstein;9;;;Darmstadt;Rentnerin;2021
Stefan;Seidler;1979;SSW;-1;Schleswig-Holstein;1;;;Flensburg;Deutsch-Dänischer Koordinator;2021
Maylis;Roßberg;2000;SSW;-1;Schleswig-Holstein;2;;;Kiel;Studentin;2021
Sybilla Lena;Nitsch;1980;SSW;-1;Schleswig-Holstein;3;;;Husum;Lehrerin;2021
Rainer;Bosse;1961;SSW;-1;Schleswig-Holstein;4;;;Eckernförde;Pensionär;2021
Ilse Johanna;Christiansen;1954;SSW;-1;Schleswig-Holstein;5;;;Bredstedt;Psychologin;2021
