Gruppenname;Gebietsnummer;jahr;Anzahl
BÜNDNIS21;20;2021;0
du.;20;2021;0
LKR;20;2021;0
Die Humanisten;20;2021;0
PIRATEN;20;2021;0
Team Todenhöfer;20;2021;0
Volt;20;2021;1391
CDU;21;2021;43870
SPD;21;2021;56594
GRÜNE;21;2021;47375
DIE LINKE;21;2021;9095
FDP;21;2021;15786
AfD;21;2021;6259
Die PARTEI;21;2021;0
Tierschutzpartei;21;2021;0
FREIE WÄHLER;21;2021;1540
ÖDP;21;2021;0
V-Partei³;21;2021;0
NPD;21;2021;93
MLPD;21;2021;174
DKP;21;2021;0
dieBasis;21;2021;3258
BÜNDNIS21;21;2021;0
du.;21;2021;0
LKR;21;2021;179
Die Humanisten;21;2021;0
PIRATEN;21;2021;0
Team Todenhöfer;21;2021;0
Volt;21;2021;0
CDU;22;2021;33085
SPD;22;2021;66616
GRÜNE;22;2021;26599
DIE LINKE;22;2021;10629
FDP;22;2021;15755
AfD;22;2021;11490
Die PARTEI;22;2021;0
Tierschutzpartei;22;2021;0
FREIE WÄHLER;22;2021;0
ÖDP;22;2021;880
V-Partei³;22;2021;0
NPD;22;2021;209
MLPD;22;2021;117
DKP;22;2021;0
dieBasis;22;2021;3054
BÜNDNIS21;22;2021;0
du.;22;2021;0
LKR;22;2021;0
Die Humanisten;22;2021;0
PIRATEN;22;2021;2068
Team Todenhöfer;22;2021;0
Volt;22;2021;1834
CDU;23;2021;26483
SPD;23;2021;61590
GRÜNE;23;2021;24231
DIE LINKE;23;2021;10521
FDP;23;2021;13301
AfD;23;2021;12774
Die PARTEI;23;2021;0
Tierschutzpartei;23;2021;0
FREIE WÄHLER;23;2021;2109
ÖDP;23;2021;1061
V-Partei³;23;2021;0
NPD;23;2021;205
MLPD;23;2021;131
DKP;23;2021;0
dieBasis;23;2021;2988
BÜNDNIS21;23;2021;0
du.;23;2021;0
LKR;23;2021;0
Die Humanisten;23;2021;0
PIRATEN;23;2021;0
Team Todenhöfer;23;2021;0
Volt;23;2021;1251
CDU;24;2021;24019
SPD;24;2021;71596
FDP;24;2021;11798
AfD;24;2021;0
GRÜNE;24;2021;12652
DIE LINKE;24;2021;4861
Die PARTEI;24;2021;0
Tierschutzpartei;24;2021;4162
